competitor,method,uid,path_str,sem_path,depth,is_leaf,n_leaves,subtree_items,count_known,best_staples,best_staples_uid,best_score,best_sem,best_lex,alt_staples,status,match_set,A_raw,AAS_leaf,CRS_leaf,coverage,coverage_leaf,coverage_items,AAS,AAS_ppr,sibling_coverage,CRS,crs_driver,n_gap_leaves,gap_leaves_example,concept_id
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Can Openers,Breakroom > Appliances > Kitchen > Can Openers,Breakroom > Appliances > Kitchen > Can Openers,4,True,1,13.0,True,"Shipping, Packing & Mailing Supplies > Mailing Supplies > Letter Openers","Staples::Shipping, Packing & Mailing Supplies > Mailing Supplies > Letter Openers",0.33818778,,0.46920732,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Salad Spinners | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders",likely,,-0.585817915216643,81.23615160349854,22.63379206972302,1.0,1.0,1.0,82.57959183673469,81.23615160349854,0.8571428571428571,22.63379206972302,"Shipping, Packing & Mailing Supplies > Mailing Supplies > Letter Openers",0,,956
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Coffee Grinders,Breakroom > Appliances > Kitchen > Coffee Grinders,Breakroom > Appliances > Kitchen > Coffee Grinders,4,True,1,3.0,True,"Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Coffee Grinders","Staples::Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Coffee Grinders",0.7310511,,1.0,"Coffee, Water & Snacks > Coffee | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders | Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies",matched,"Staples::Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Coffee Grinders",0.311140020463013,100.0,68.84524924931237,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,68.84524924931237,"Coffee, Water & Snacks > Coffee",0,,118
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Coffee Makers,Breakroom > Appliances > Kitchen > Coffee Makers,Breakroom > Appliances > Kitchen > Coffee Makers,4,True,1,115.0,True,"Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies","Staples::Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies",0.58961064,,0.8134111,"Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Coffee Makers & Espresso Machines | Coffee, Water & Snacks > Coffee | Coffee, Water & Snacks > Breakroom Appliances > Drink Makers",matched,"Staples::Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies | Staples::Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Coffee Makers & Espresso Machines",0.42833141207319275,100.0,86.01055408970977,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,86.01055408970977,"Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies",0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Cookers,Breakroom > Appliances > Kitchen > Cookers,Breakroom > Appliances > Kitchen > Cookers,4,True,1,67.0,True,Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,Staples::Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,0.4156937,,0.5159489,Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers | Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils,likely,,-0.585817915216643,81.23615160349854,30.453962149110232,1.0,1.0,1.0,82.57959183673469,81.23615160349854,0.8571428571428571,30.453962149110232,Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,0,,957
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Dishwashers,Breakroom > Appliances > Kitchen > Dishwashers,Breakroom > Appliances > Kitchen > Dishwashers,4,True,1,7.0,True,Appliances & Kitchenware > Major Appliances > Dishwashers,Staples::Appliances & Kitchenware > Major Appliances > Dishwashers,0.7512227,,1.0,"Cleaning Supplies > Dishwasher Detergent | Appliances & Kitchenware > Major Appliances > Washers & Dryers | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders",matched,Staples::Appliances & Kitchenware > Major Appliances > Dishwashers,-0.5194850868109521,83.9067055393586,63.87862796833773,1.0,1.0,1.0,84.44897959183672,83.90670553935858,0.8571428571428571,63.87862796833773,Cleaning Supplies > Dishwasher Detergent,0,,18
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Food Processors,Breakroom > Appliances > Kitchen > Food Processors,Breakroom > Appliances > Kitchen > Food Processors,4,True,1,20.0,True,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors","Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0.64825076,,0.7524253,"Computers & Accessories > Computer Parts & Components > Computer Processors / CPUs | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders | Appliances & Kitchenware > Major Appliances > Food Warmers",matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",-0.10391504554207359,100.0,73.56226415094339,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,73.56226415094339,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0,,104
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Food Slicers,Breakroom > Appliances > Kitchen > Food Slicers,Breakroom > Appliances > Kitchen > Food Slicers,4,True,1,3.0,True,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors","Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0.23103647,,0.1683253,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders | Coffee, Water & Snacks > Breakroom Appliances > Juicers | Appliances & Kitchenware > Major Appliances > Food Warmers",gap,,-0.585817915216643,81.23615160349854,0.0,0.0,0.0,0.0,84.72244897959183,81.23615160349854,0.9285714285714286,0.0,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",1,Food Slicers,958
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Grills,Breakroom > Appliances > Kitchen > Grills,Breakroom > Appliances > Kitchen > Grills,4,True,1,30.0,True,"Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers","Staples::Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",0.32610482,,0.39052445,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Grilling Products | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders | Facilities > Hand & Power Tools > Power Tools > Drills",likely,,-0.585817915216643,81.23615160349854,9.533163586502555,1.0,1.0,1.0,82.57959183673469,81.23615160349854,0.8571428571428571,9.533163586502555,"Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",0,,959
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Ice Makers,Breakroom > Appliances > Kitchen > Ice Makers,Breakroom > Appliances > Kitchen > Ice Makers,4,True,1,27.0,True,Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,0.54456717,,0.7106822,"Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines | Coffee, Water & Snacks > Breakroom Appliances > Drink Makers | Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers",matched,Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,0.1613971346339472,100.0,48.31446540880503,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,48.31446540880503,Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Microwaves,Breakroom > Appliances > Kitchen > Microwaves,Breakroom > Appliances > Kitchen > Microwaves,4,True,1,71.0,True,Appliances & Kitchenware > Small Appliances > Microwaves,Staples::Appliances & Kitchenware > Small Appliances > Microwaves,0.7614445,,1.0,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Mixing Bowls | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Pizza Tools",matched,Staples::Appliances & Kitchenware > Small Appliances > Microwaves,-0.1663338829907984,100.0,42.77987421383648,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,42.77987421383648,Appliances & Kitchenware > Small Appliances > Microwaves,0,,29
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Refrigerators,Breakroom > Appliances > Kitchen > Refrigerators,Breakroom > Appliances > Kitchen > Refrigerators,4,True,1,111.0,True,Appliances & Kitchenware > Major Appliances > Refrigerators,Staples::Appliances & Kitchenware > Major Appliances > Refrigerators,0.7512227,,1.0,"Laboratory & Scientific Supplies > Lab Instruments & Equipment > Refrigerators, Freezers & Accessories | Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Refrigerated Prep Tables | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Meat Preparation Equipment",matched,Staples::Appliances & Kitchenware > Major Appliances > Refrigerators,-0.31315815799600116,93.90087463556851,44.20125786163522,1.0,1.0,1.0,91.44489795918366,93.90087463556851,0.8571428571428571,44.20125786163522,Appliances & Kitchenware > Major Appliances > Refrigerators,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Stoves,Breakroom > Appliances > Kitchen > Stoves,Breakroom > Appliances > Kitchen > Stoves,4,True,1,28.0,True,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,0.13769212,,0.025952272,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cutting Boards | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders",gap,,-0.585817915216643,81.23615160349854,0.0,0.0,0.0,0.0,84.72244897959183,81.23615160349854,0.9285714285714286,0.0,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,1,Stoves,960
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Toasters & Toaster Ovens,Breakroom > Appliances > Kitchen > Toasters & Toaster Ovens,Breakroom > Appliances > Kitchen > Toasters & Toaster Ovens,4,True,1,44.0,True,"Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens","Staples::Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",0.7568112,,0.90440995,"Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders | Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders",matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",-0.045703777744338356,100.0,70.27924528301887,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,70.27924528301887,"Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",0,,109
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Water Filters & Dispensers,Breakroom > Appliances > Kitchen > Water Filters & Dispensers,Breakroom > Appliances > Kitchen > Water Filters & Dispensers,4,True,1,46.0,True,"Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers","Staples::Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers",0.8250898,,1.0,"Coffee, Water & Snacks > Breakroom Appliances > Napkin Dispensers | Coffee, Water & Snacks > Breakroom Appliances > Paper Towel Dispensers | Laboratory & Scientific Supplies > Labware & Consumables > Lab Dispensers",matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers",0.3237532174236527,100.0,75.1245283018868,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,75.1245283018868,"Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers",0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Laundry,Breakroom > Appliances > Laundry,Breakroom > Appliances > Laundry,3,False,5,47.0,True,Cleaning Supplies > Laundry Care,Staples::Cleaning Supplies > Laundry Care,0.4681208,,0.7046989,Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Accessories | Cleaning Supplies > Laundry Care > Laundry Detergent | Cleaning Supplies > Laundry Care > Laundry Stain Removers,matched,Staples::Cleaning Supplies > Laundry Care | Staples::Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Accessories,-0.2834289156180533,95.44023323615161,78.27522935779815,1.0,1.0,1.0,86.22049500651325,84.60070715216177,0.9,78.27522935779815,Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Accessories,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Laundry > Dryers,Breakroom > Appliances > Laundry > Dryers,Breakroom > Appliances > Laundry > Dryers,4,True,1,6.0,True,Cleaning Supplies > Laundry Care > Dryer Sheets,Staples::Cleaning Supplies > Laundry Care > Dryer Sheets,0.53653896,,0.5559688,Facilities > Bathroom Fixtures > Hand Dryers | Appliances & Kitchenware > Major Appliances > Washers & Dryers | Facilities > Washer & Dryer Accessories,matched,Staples::Cleaning Supplies > Laundry Care > Dryer Sheets | Staples::Facilities > Bathroom Fixtures > Hand Dryers | Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,0.08185141772964383,100.0,59.00377358490566,1.0,1.0,1.0,100.0,100.0,1.0,59.00377358490566,Cleaning Supplies > Laundry Care > Dryer Sheets,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Laundry > Fabric Steamers,Breakroom > Appliances > Laundry > Fabric Steamers,Breakroom > Appliances > Laundry > Fabric Steamers,4,True,1,12.0,True,Retail Store Supplies > Sewing & Tailoring > Fabric,Staples::Retail Store Supplies > Sewing & Tailoring > Fabric,0.42681217,,0.5721052,Cleaning Supplies > Laundry Care > Fabric Softener | Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers | Retail Store Supplies > Sewing & Tailoring > Garment Steamers & Irons,likely,,-0.7202554492537577,75.73177842565597,30.999441458744077,1.0,1.0,1.0,83.01224489795918,75.73177842565597,1.0,30.999441458744077,Retail Store Supplies > Sewing & Tailoring > Fabric,0,,961
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Laundry > Irons,Breakroom > Appliances > Laundry > Irons,Breakroom > Appliances > Laundry > Irons,4,True,1,7.0,True,Retail Store Supplies > Sewing & Tailoring > Garment Steamers & Irons,Staples::Retail Store Supplies > Sewing & Tailoring > Garment Steamers & Irons,0.3414367,,0.45257962,"Tools, Parts & Supplies > Power Tools > Soldering Guns & Irons | Cleaning Supplies > Laundry Care > Scent Boosters | Cleaning Supplies > Laundry Care > Laundry Room Organization",likely,,-0.7202554492537577,75.73177842565597,12.988808222536772,1.0,1.0,1.0,83.01224489795918,75.73177842565597,1.0,12.988808222536772,Retail Store Supplies > Sewing & Tailoring > Garment Steamers & Irons,0,,962
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Laundry > Sewing Machines,Breakroom > Appliances > Laundry > Sewing Machines,Breakroom > Appliances > Laundry > Sewing Machines,4,True,1,18.0,True,Retail Store Supplies > Sewing & Tailoring > Sewing Machines,Staples::Retail Store Supplies > Sewing & Tailoring > Sewing Machines,0.73245126,,1.0,"Appliances & Kitchenware > Small Appliances > Bread Machines | Retail Store Supplies > Sewing & Tailoring > Sewing Tools | Shredders, Projectors & Office Machines > Fax Machines",matched,Staples::Retail Store Supplies > Sewing & Tailoring > Sewing Machines,-0.4522500133098618,86.75218658892129,40.76729559748428,1.0,1.0,1.0,90.7265306122449,86.75218658892129,1.0,40.76729559748428,Retail Store Supplies > Sewing & Tailoring > Sewing Machines,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Laundry > Washers,Breakroom > Appliances > Laundry > Washers,Breakroom > Appliances > Laundry > Washers,4,True,1,4.0,True,Appliances & Kitchenware > Major Appliances > Washers & Dryers,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,0.4978846,,0.644762,"Facilities > Grounds Maintenance > Outdoor Tools > Pressure Washers & Accessories | Facilities > Washer & Dryer Accessories | Tools, Parts & Supplies > Power Tools > Pressure Washer Accessories / Attachments",matched,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,-0.31269615793287114,93.9475218658892,48.691823899371066,1.0,1.0,1.0,95.76326530612243,93.9475218658892,1.0,48.691823899371066,Appliances & Kitchenware > Major Appliances > Washers & Dryers,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Beverages,Breakroom > Beverages,Breakroom > Beverages,2,False,6,290.0,True,"Coffee, Water & Snacks > Water & Beverages","Staples::Coffee, Water & Snacks > Water & Beverages",0.53670126,,0.7088421,"Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients > Food & Beverage Thickeners | Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders",matched,"Staples::Coffee, Water & Snacks > Water & Beverages",0.6901937398891399,100.0,83.16094986807389,1.0,1.0,1.0,96.7123287671233,100.0,0.8904109589041096,83.16094986807389,"Coffee, Water & Snacks > Water & Beverages",0,,138
OfficeDepot,G,OfficeDepot::Breakroom > Beverages > Energy & Nutrition Drinks,Breakroom > Beverages > Energy & Nutrition Drinks,Breakroom > Beverages > Energy & Nutrition Drinks,3,True,1,59.0,True,"Coffee, Water & Snacks > Water & Beverages > Energy & Sports Drinks","Staples::Coffee, Water & Snacks > Water & Beverages > Energy & Sports Drinks",0.52045745,,0.50631773,"Coffee, Water & Snacks > Water & Beverages > Liquid & Powdered Drink Mixes | Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition | Coffee, Water & Snacks > Breakroom Appliances > Drink Makers",matched,"Staples::Coffee, Water & Snacks > Water & Beverages > Energy & Sports Drinks",0.9624403098838736,100.0,76.77735849056604,1.0,1.0,1.0,100.0,100.0,1.0,76.77735849056604,"Coffee, Water & Snacks > Water & Beverages > Energy & Sports Drinks",0,,139
OfficeDepot,G,OfficeDepot::Breakroom > Beverages > Hot Chocolate,Breakroom > Beverages > Hot Chocolate,Breakroom > Beverages > Hot Chocolate,3,True,1,18.0,True,"Coffee, Water & Snacks > Candy, Gum & Mints > Chocolate","Staples::Coffee, Water & Snacks > Candy, Gum & Mints > Chocolate",0.559426,,0.76512915,"Coffee, Water & Snacks > Water & Beverages > Water | Coffee, Water & Snacks > Water & Beverages > Water Bottles, Tumblers & Travel Mugs | Coffee, Water & Snacks > Water & Beverages > Liquid & Powdered Drink Mixes",matched,"Staples::Coffee, Water & Snacks > Candy, Gum & Mints > Chocolate",0.7474996979941733,100.0,80.03773584905662,1.0,1.0,1.0,100.0,100.0,1.0,80.03773584905662,"Coffee, Water & Snacks > Candy, Gum & Mints > Chocolate",0,,111
