competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Amazon,Electronics > Camera & Photo > Lenses,1,"Phones, Cameras & Electronics > Cameras, Camcorders & Accessories > Camera & Camcorder Accessories",verification loop,Claude labelling agent (review with team),Camera Accessories page lists Canon EF/RF lenses; search finds 55 lens results
Amazon,Electronics > Portable Audio & Video > Boomboxes,1,Audio > Portable Audio > Portable Speakers & Radios,verification loop,Claude labelling agent (review with team),Portable Speakers & Radios lists Aiwa/Emerson/Jensen boomboxes
Walmart,Health and Medicine > Lip Care > Aquaphor,1,Healthcare Supplies > Personal Care > Skin Care > Lip Balm,verification loop,Claude labelling agent (review with team),lip care brand; lip balm shelf
Walmart,Health and Medicine > Foot Care > ZenToes,1,Healthcare Supplies > Durable Medical Equipment > Orthopedics > Ankle & Foot Supports,verification loop,Claude labelling agent (review with team),"judgement: toe/bunion/foot pads; Ankle & Foot Supports lists hammer-toe cushions, plantar wraps"
Amazon,"Industrial & Scientific > Adhesives, Sealants & Lubricants > Catalysts",0,,verification loop,Claude labelling agent (review with team),judgement: resin/epoxy hardeners & activators; no Staples shelf (adhesive shelves are thin)
Amazon,Industrial & Scientific > Raw Materials > Floor Grating,0,,verification loop,Claude labelling agent (review with team),industrial metal/fiberglass grating; no Staples shelf
Walmart,Party & Occasions > Tangled Party Supplies > Tangled Cards,1,Gift Shop > Invitations|Paper > Stationery & Invitations,verification loop,Claude labelling agent (review with team),themed party invitations/cards; product-type match (cf. Pirate Cards)
Walmart,Health and Medicine > Digestive Health > BIOHM,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Probiotics|Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,verification loop,Claude labelling agent (review with team),"probiotic/gut-health supplements; Probiotics shelf thin, supplements shelf"
Walmart,Home > Kitchen & Dining > Caraway,1,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Pots & Pans|Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,verification loop,Claude labelling agent (review with team),cookware/bakeware brand page; judged by product type
Walmart,Health and Medicine > Caregiver > Sharper Image,1,Retail Store Supplies > Spa & Salon > Spa & Massage > Massage & Recovery Tools,verification loop,Claude labelling agent (review with team),judgement: Sharper Image caregiver line = massagers; massage tools shelf
Amazon,Home & Kitchen > Seasonal Décor > Stockings & Holders,1,Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs,verification loop,Claude labelling agent (review with team),Window & Wall Decor lists L.L.Bean Christmas stockings and stocking holders
Walmart,Health and Medicine > Sports Medicine & Injury Recovery Solution > Gain Strength,1,Healthcare Supplies > Physical Therapy and Rehabilitation Equipment > Rehabilitation & Therapeutic Equipment|Expanded Assortment > Fitness,verification loop,Claude labelling agent (review with team),"judgement: rehab strength aids (putty, weights, bands); rehab equipment + fitness shelves"
Amazon,Industrial & Scientific > Science Education > Microscope Sample Slides,0,,verification loop,Claude labelling agent (review with team),no prepared/blank slide shelf; Microscopes shelf = 5 microscopes/magnifiers
Amazon,Electronics > eBook Readers & Accessories > Reading Lights,0,,verification loop,Claude labelling agent (review with team),judgement: only one clip-on booklight found; lamp shelves are desk/floor lamps
Walmart,Health and Medicine > Allergy Medicine > Neilmed,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),sinus rinse/saline nasal; allergy shelf (cf. Simply Saline)
Amazon,Industrial & Scientific > Industrial Electrical > Decade Boxes,0,,verification loop,Claude labelling agent (review with team),no decade boxes; test-instrument shelf is handheld meters (LCR meter only)
Amazon,Tools & Home Improvement > Building Supplies > HVAC,1,Facilities > Heating & Cooling|Facilities > Air Quality,verification loop,Claude labelling agent (review with team),"judgement: broad HVAC node; ACs, fans, heaters, thermostats, air filters covered; ducting/parts not"
Wayfair,Shop Office Spaces > Meeting & Collaborative Spaces > Meeting Space Tables,1,Furniture > Home & Office Tables > Conference Room Tables,verification loop,Claude labelling agent (review with team),meeting tables = conference room tables
Walmart,Health and Medicine > Digestive Health > Loperamide,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids,verification loop,Claude labelling agent (review with team),anti-diarrheal; digestive aids shelf (thin) on-type
Amazon,"Patio, Lawn & Garden > Outdoor Power Tools > Tillers",0,,verification loop,Claude labelling agent (review with team),garden tillers/cultivators; no Staples shelf (cf. Lawn Mowers=0)
Walmart,Electronics > Electronics Learning Center > Ads Free Page 21,0,,verification loop,Claude labelling agent (review with team),"editorial/ad-free content page, not a product category"
Amazon,Industrial & Scientific > Cutting Tools > Threading Taps,1,"Tools, Parts & Supplies > Hand Tools > Tap Wrenches & Dies",verification loop,Claude labelling agent (review with team),taps & dies shelf (cf. Drill & Tap Sets)
Walmart,Health and Medicine > Home Health Care > Marpac,1,Audio > Portable Audio > Portable Speakers & Radios,verification loop,Claude labelling agent (review with team),judgement: Marpac/Yogasleep sound machines sold; listed on Portable Speakers & Radios
Walmart,Health and Medicine > Foot Care > Wart,0,,verification loop,Claude labelling agent (review with team),wart removers; no Staples shelf (OTC skin assortment thin)
Amazon,Industrial & Scientific > Power & Hand Tools > Workholding,1,Facilities > Hand & Power Tools > Hand Tools > Clamps,verification loop,Claude labelling agent (review with team),judgement: vises/clamps; clamps shelf
Walmart,Home Improvement > Renewable Energy > Wind Turbines,0,,verification loop,Claude labelling agent (review with team),no wind turbines; Staples renewable = 2 solar panels only
Walmart,Health and Medicine > Ear Care > Excess Earwax,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),earwax removal drops; ear drops shelf (cf. Earache)
OfficeDepot,Furniture > Furniture Accessories > Cord & Wire Management,1,Computers & Accessories > Computer Accessories & Peripherals > Cables & Cable Accessories > Cable Management,verification loop,Claude labelling agent (review with team),cable management shelf (218 items)
Wayfair,Outdoor > Backyard Play > Kids Cars & Ride-On Toys,1,School Supplies > Teacher Supplies > Physical Education & Recreation > Riding Toys & Wagons,verification loop,Claude labelling agent (review with team),riding toys shelf
Amazon,"Industrial & Scientific > Test, Measure & Inspect > Recorders & Data Acquisition",1,"Safety Supplies > Test Instruments, Meters & Precision Tools|Laboratory & Scientific Supplies > Lab Instruments & Equipment > Lab Notebooks, Recorders & Dataloggers",verification loop,Claude labelling agent (review with team),judgement: Reed data loggers on test-instrument shelf; named datalogger shelf holds notebooks
Amazon,Appliances > Vacuums & Floor Care > Sweepers,1,Cleaning Supplies > Floor & Carpet Cleaning Equipment > Vacuums,verification loop,Claude labelling agent (review with team),Vacuums page lists Bissell cordless sweeper
Amazon,Industrial & Scientific > Cutting Tools > Boring Bars,0,,verification loop,Claude labelling agent (review with team),judgement: lathe/mill boring tooling; no turning-tool shelf
Amazon,Health & Personal Care > Medical Supplies & Equipment > Funeral,0,,verification loop,Claude labelling agent (review with team),funeral/memorial supplies; not carried
Walmart,Health and Medicine > Foot Care > Lamisil,1,Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Antifungals,verification loop,Claude labelling agent (review with team),antifungal; antifungals shelf
Walmart,Health and Medicine > Caregiver > Sinus,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),sinus relief meds/rinses; cough-cold-allergy shelf
Walmart,Health and Medicine > Digestive Health > Iberogast,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids,verification loop,Claude labelling agent (review with team),herbal indigestion remedy; digestive aids shelf
Walmart,Party & Occasions > The Lion King Party Supplies > The Lion King Decorative Baking,1,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations",verification loop,Claude labelling agent (review with team),themed cake decorations; product-type match (cf. Lumberjack)
Walmart,Health and Medicine > Digestive Health > Papaya Enzymes,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids|Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,verification loop,Claude labelling agent (review with team),chewable digestive enzymes; digestive aids / supplements
Amazon,Industrial & Scientific > Science Education > Insects & Insect Kits,1,School Supplies > Learning at Home > Educational & STEM Toys,verification loop,Claude labelling agent (review with team),"Insect Lore bug jars/nets, GeoSafari bug catchers, bug sets sold as STEM toys"
Amazon,"Arts, Crafts & Sewing > Fabric Decorating > Fixatives",0,,verification loop,Claude labelling agent (review with team),fabric/dye fixatives; no textile-dye shelf (cf. Dyes=0)
Amazon,"Patio, Lawn & Garden > Outdoor Heating & Cooling > Fire Pit Spark Screens",0,,verification loop,Claude labelling agent (review with team),fire-pit accessory; Staples sells fire pits only (cf. Patio Heater Parts=0)
Walmart,Health and Medicine > Foot Care > Kerasal,1,Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Antifungals|Healthcare Supplies > Personal Care > Skin Care > Lotion & Moisturizer,verification loop,Claude labelling agent (review with team),nail-fungus & foot-repair ointment (cf. Natureplex)
Amazon,Electronics > eBook Readers & Accessories > Bundles,1,Tablets & iPads > E-Readers,verification loop,Claude labelling agent (review with team),e-reader bundles; e-readers shelf
Amazon,Industrial & Scientific > Professional Medical Supplies > Radiology & Imaging,0,,verification loop,Claude labelling agent (review with team),"judgement: x-ray film, lead aprons, imaging gear not carried; only ultrasound gel"
Walmart,Personal Care > Feminine Care > Stayfree Pads,1,Healthcare Supplies > Personal Care > Period Care > Menstrual Pads,verification loop,Claude labelling agent (review with team),menstrual pads; exact shelf
Amazon,"Home & Kitchen > Heating, Cooling & Air Quality > Evaporative Coolers",1,Facilities > Heating & Cooling > Air Conditioners,verification loop,Claude labelling agent (review with team),judgement: Air Conditioners lists Techni Home evaporative cooler; search finds 14
Amazon,Home & Kitchen > Event & Party Supplies > Photobooth Props,1,Party Supplies > Party Décor,verification loop,Claude labelling agent (review with team),Say Hooray photo props and backdrop-with-props kits sold
Amazon,Tools & Home Improvement > Hardware > Address Numbers & Plaques,0,,verification loop,Claude labelling agent (review with team),no address numbers/plaques shelf (cf. House Numbers & Letters=0)
Walmart,Personal Care > Men's Essentials > Viking Revolution,1,"Retail Store Supplies > Spa & Salon > Shaving > Hair Removal & Shaving Products|Gift Shop > Home, Personal & Travel > Grooming Sets",verification loop,Claude labelling agent (review with team),men's beard/shave brand; judged by product type (cf. Cremo)
Walmart,Home > Featured Shops > Simple Modern,1,"Coffee, Water & Snacks > Water & Beverages > Water Bottles, Tumblers & Travel Mugs",verification loop,Claude labelling agent (review with team),drinkware brand; water bottles & tumblers shelf
Walmart,Health and Medicine > Diabetes Care Brands > Diabetes Doctor,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition|Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,verification loop,Claude labelling agent (review with team),judgement: diabetic nutrition shakes & blood-sugar supplements
Amazon,Electronics > Television & Video > VCRs,0,,verification loop,Claude labelling agent (review with team),no VCRs or DVD/VCR combos; DVD shelf and search show none
Walmart,Personal Care > Feminine Care > Monistat,0,,verification loop,Claude labelling agent (review with team),judgement: vaginal yeast-infection treatment; antifungal shelf is a skin cream only
Walmart,Health and Medicine > Eye Care > Rohto,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),eye drops; eye drops shelf
Amazon,"Arts, Crafts & Sewing > Scrapbooking & Stamping > Chipboard",0,,verification loop,Claude labelling agent (review with team),judgement: scrapbook chipboard shapes/albums; none on Stickers & Embellishments
Walmart,Health and Medicine > Eye Care > Ortopad,0,,verification loop,Claude labelling agent (review with team),adhesive eye occlusion patches; no Staples shelf
Walmart,Health and Medicine > Eye Care > Systane,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),eye drops; eye drops shelf
Walmart,Health and Medicine > Eye Care > Similasan,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),homeopathic eye drops; eye drops shelf
Walmart,Health and Medicine > Eye Care > Biotrue,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),eye drops + lens solution; shelf lists Opti-Free solution
Walmart,Home > Featured Shops > Entryway,1,"Furniture > Storage Furniture > Coat Trees, Stands & Hooks|Furniture > Storage Furniture > Clothing Racks & Closet Organization > Shoe Racks",verification loop,Claude labelling agent (review with team),judgement: entry storage covered (cf. Hallway & Mudroom)
Walmart,Health and Medicine > Eye Care > Genteal,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),eye drops/gel; eye drops shelf
Walmart,Health and Medicine > Foot Care > Pedifix,1,Healthcare Supplies > Durable Medical Equipment > Orthopedics > Ankle & Foot Supports,verification loop,Claude labelling agent (review with team),judgement: toe/bunion/foot pads; Ankle & Foot Supports lists hammer-toe cushions
Walmart,Health and Medicine > Digestive Health > Lactase,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids,verification loop,Claude labelling agent (review with team),lactase enzyme; digestive aids shelf
Walmart,Health and Medicine > Digestive Health > Hilma,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids,verification loop,Claude labelling agent (review with team),natural gas/digestive relief; digestive aids shelf
Amazon,Industrial & Scientific > Cutting Tools > Counterbores,1,"Tools, Parts & Supplies > Hand Tools > Reamers & Deburring Tools|Tools, Parts & Supplies > Power Tools > Drilling and Fastening Tools",verification loop,Claude labelling agent (review with team),judgement: same hole-finishing family as Countersinks=1
Amazon,"Arts, Crafts & Sewing > Sewing > Quilting",0,,verification loop,Claude labelling agent (review with team),judgement: quilting batting/rulers/templates not carried; only quilting sewing machines
Walmart,Health and Medicine > Allergy Medicine > Mypurmist,1,Healthcare Supplies > Patient Care > Respiratory Therapy > Aerosol Therapy,verification loop,Claude labelling agent (review with team),personal steam inhaler; Staples sells Mabis/HealthSmart steam inhalers
Walmart,Party & Occasions > Paw Patrol Party Supplies > Paw Patrol Tableware,1,Party Supplies > Disposable Plates|Party Supplies,verification loop,Claude labelling agent (review with team),themed party tableware; product-type match
Walmart,Health and Medicine > Foot Care > Okeefes,1,Healthcare Supplies > Personal Care > Skin Care > Lotion & Moisturizer,verification loop,Claude labelling agent (review with team),foot/hand cream; lotion & moisturizer shelf
Walmart,Health and Medicine > Allergy Medicine > Netipots,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),judgement: sinus-rinse devices; allergy/sinus shelf (cf. Simply Saline)
Walmart,Health and Medicine > Digestive Health > IBgard,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids,verification loop,Claude labelling agent (review with team),peppermint-oil IBS capsules; digestive aids shelf
