competitor,comp_path,context_path,is_leaf,source,candidates,staples_carries,gold_staples_path,note
Wayfair,Holiday > Easter > Easter Tableware & Linens,Holiday > Easter > Easter Tableware & Linens,True,stratified sample,"Furniture > Decor > Seasonal Decor > Holiday Lighting || Furniture > Decor > Seasonal Decor > Ornaments & Tree Decor || Furniture > Decor > Seasonal Decor > Figurines & Tabletop Decor || Party Supplies > Wedding Supplies > Wedding Glassware || Furniture > Decor > Seasonal Decor || Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Furniture > Decor > Candles || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware || Party Supplies > Wedding Supplies > Wedding Decorations & Supplies || Party Supplies > Napkins || Retail Store Supplies > Spa & Salon > Spa & Massage > Sheets & Linens || Appliances & Kitchenware > Kitchenware > Dining & Tableware",,,
Wayfair,Furniture > Custom Furniture > Custom Headboards > Adjustable Beds,Furniture > Custom Furniture > Custom Headboards > Adjustable Beds,True,stratified sample,Furniture > Decor > Beds & Bedding > Headboards || Furniture > Decor > Beds & Bedding > Beds & Mattresses || Furniture > Decor > Beds & Bedding || Furniture > Decor > Beds & Bedding > Mattress Pads & Toppers || Furniture > Chairs & Seating || Furniture > Chair Mats || Furniture > Decor > Beds & Bedding > Pillows || Furniture > Storage Furniture > Shelving || Furniture > Chairs & Seating > Chair Parts & Accessories || Furniture > Storage Furniture || Healthcare Supplies > Patient Care > Beds & Bedside Care > Medical Beds || Healthcare Supplies > Patient Care > Beds & Bedside Care,,,
Wayfair,Outdoor > Outdoor & Patio Furniture > Outdoor Umbrellas,Outdoor > Outdoor & Patio Furniture > Outdoor Umbrellas,True,stratified sample,Gift Shop > Professional Gifts > Compasses > Patio Furniture || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Furniture > Lamps & Lighting > Outdoor Lighting || Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools || Facilities > Grounds Maintenance > Outdoor Tools || Furniture > Chairs & Seating || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games,,,
Wayfair,Organization > Storage Furniture > Blanket Ladders & Racks,Organization > Storage Furniture > Blanket Ladders & Racks,True,stratified sample,"Furniture > Storage Furniture > Clothing Racks & Closet Organization || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Clothes Racks & Portable Closets || Furniture > Storage Furniture > Coat Trees, Stands & Hooks || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Closet Storage & Organizers || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Shoe Racks || Furniture > Storage Furniture > Storage Organization || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Closet Systems || Furniture > Storage Furniture > Storage Cabinets || Furniture > Storage Furniture > Shelving || Office Supplies > Storage & Organization > Storage Baskets || Furniture > Decor > Beds & Bedding > Blankets & Throws || Facilities > Ladders & Step Stools",,,
Wayfair,Outdoor > Outdoor Décor > Bird Houses,Outdoor > Outdoor Décor > Bird Houses,True,stratified sample,"Expanded Assortment > Pet Supplies & Accessories > Bird Supplies || Furniture > Decor > Wall Art > Garden Landscape || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Furniture > Decor > Seasonal Decor > Standing Decor || Furniture > Decor > Home & Office Decor > Home & Office Bars || Furniture > Decor > Wall Art > Food & Kitchen Art || Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs || Expanded Assortment > Pet Supplies & Accessories > Bird Supplies > Bird Food, Treats and Healthcare || Furniture > Decor > Home & Office Decor || Furniture > Decor > Home & Office Decor > Living Room Accents || School Supplies > Learning at Home > Pretend Play > Dolls & Dollhouses || Facilities > Electrical and Wiring > Electrical > Fuses",,,
Wayfair,"Smallwares > Pots, Pans & Skillets > Stock, Soup & Multi-Pots","Smallwares > Pots, Pans & Skillets > Stock, Soup & Multi-Pots",True,stratified sample,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Pots & Pans || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Skillets & Braising Pans || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Mixing Bowls || Coffee, Water & Snacks > Plates, Cups & Cutlery || Appliances & Kitchenware > Small Appliances > Fondue Sets || Appliances & Kitchenware > Small Appliances > Pasta Makers || Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers || Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Salad Spinners || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils || Paper > Card Stock || Computers & Accessories > Computer Accessories & Peripherals > Multi-Factor Authentication",,,
Wayfair,Boards & Technology > Electronic Mounts & Stands > Portable Electronic Mounts,Boards & Technology > Electronic Mounts & Stands > Portable Electronic Mounts,True,stratified sample,"Computers & Accessories > Computer Monitors & Stands > Monitor Stands & Mounts || Computers & Accessories > Computer Parts & Components > Video Capture Devices || Computers & Accessories > Computer Monitors & Stands || Phones, Cameras & Electronics > Cell Phone Mounts & Holders || Tools, Parts & Supplies > Power Tools > Metal Detectors || Computers & Accessories > Computer Accessories & Peripherals > Computer Privacy Screens & Protectors || Computers & Accessories > Computer Parts & Components || Audio > Portable Audio > Portable Speakers & Radios || Computers & Accessories > Computer Parts & Components > Tower Computer Cases || Tools, Parts & Supplies > Automotive > Booster Cables, Battery Clamps & Chargers || Audio > Portable Audio || TV & Streaming Media > TV & Video > TV Wall Mounts",,,
Wayfair,Outdoor > Outdoor Décor > Outdoor Thermometers,Outdoor > Outdoor Décor > Outdoor Thermometers,True,stratified sample,"Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Furniture > Lamps & Lighting > Outdoor Lighting || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Gift Shop > Professional Gifts > Compasses > Patio Furniture || Facilities > Grounds Maintenance > Outdoor Tools || Tools, Parts & Supplies > Measuring & Leveling Tools > Medical Thermometers || Furniture > Decor > Weather Instruments || Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games",,,
Wayfair,Shop Restaurant Spaces > Dining Room > Restaurant Dining & Bar Furniture,Restaurant Spaces > Dining Room > Restaurant Dining & Bar Furniture,True,stratified sample,Furniture > Home & Office Tables > Breakroom & Dining Tables || Furniture > Chairs & Seating > Breakroom & Dining Chairs || Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Catering & Buffet Supplies || Furniture > Decor > Home & Office Decor > Home & Office Bars || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks || Furniture > Chairs & Seating > Accent & Waiting Room Chairs || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Chafing Dishes & Buffet Accessories || Furniture > Home & Office Tables > Accent & Coffee Tables || Furniture > Home & Office Tables > Conference Room Tables || Furniture || Restaurant & Foodservice Supplies > Restaurant Systems,,,
Wayfair,"Baby & Kids > Baby & Kids Rugs, Décor & Lighting > Baby & Kids' Night Lights","Baby & Kids > Baby & Kids Rugs, Décor & Lighting > Baby & Kids' Night Lights",True,stratified sample,Healthcare Supplies > Personal Care > Baby Care > Baby Kits || School Supplies > Preschool Supplies > Pretend Play & Dress Up || Furniture > Daycare & Nursery > Play & Rest Mats || Healthcare Supplies > Personal Care > Baby Care > Baby Diapers || Healthcare Supplies > Personal Care > Baby Care > Baby Wipes || Gift Shop > Game Room & Toys || Healthcare Supplies > Personal Care > Baby Care > Baby Skin Care || Furniture > Decor > Wall Art > Still Life || Healthcare Supplies > Personal Care > Baby Care > Youth Feeding Supplies || Healthcare Supplies > Personal Care > Baby Care > Baby Formula || Facilities > Work Lights || Healthcare Supplies > Personal Care > Baby Care,,,
Wayfair,School Spaces > Library Furniture > Reception Desks & Suites,School Spaces > Library Furniture > Reception Desks & Suites,True,stratified sample,Furniture > Home & Office Tables > Conference Room Tables || Furniture > Home & Office Tables > Training Room Tables || Furniture > Desks > Office Desks || Furniture > Home & Office Tables > Breakroom & Dining Tables || Furniture > Home & Office Tables > Classroom & Kids' Tables || Furniture > School Furniture > Classroom Storage Furniture || Furniture > Home & Office Tables || Furniture > Desks || Furniture > School Furniture > Student Desks & Study Carrels || Furniture > Chairs & Seating > Office Chairs || Laboratory & Scientific Supplies > Lab Furniture & Fixtures > Lab Desks || Furniture > Desks > Sit & Stand Desks,,,
Wayfair,School Spaces > Outdoor Playground & Recreation > Sand & Water Tables,School Spaces > Outdoor Playground & Recreation > Sand & Water Tables,True,stratified sample,"Gift Shop > Professional Gifts > Compasses > Water Recreation || School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || Coffee, Water & Snacks > Water & Beverages > Water || Facilities > Grounds Maintenance > Outdoor Tools || Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools || Furniture > Home & Office Tables > Classroom & Kids' Tables || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Facilities > Grounds Maintenance > Watering Equipment > Water Hoses & Accessories || Facilities > Plumbing > Bathroom Hardware > Water Treatment || Coffee, Water & Snacks > Water & Beverages",,,
Wayfair,Outdoor > Outdoor Shades,Outdoor > Outdoor Shades,False,stratified sample,"Furniture > Lamps & Lighting > Outdoor Lighting || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Furniture > Decor > Curtains, Blinds & Shades || Expanded Assortment > Outdoors & Recreation || Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || Furniture > Lamps & Lighting > Lamp Shades || Furniture > Decor > Seasonal Decor > Holiday Lighting || Facilities > Grounds Maintenance > Outdoor Tools || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games",,,
Wayfair,Restaurant Furniture > Restaurant Dining & Bar Furniture > Low Top Restaurant Tables,Restaurant Furniture > Restaurant Dining & Bar Furniture > Low Top Restaurant Tables,True,stratified sample,Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables || Furniture > Home & Office Tables > Accent & Coffee Tables || Restaurant & Foodservice Supplies > Custom Restaurant Supplies || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Catering & Buffet Supplies || Restaurant & Foodservice Supplies > Bar Supplies || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Chafing Dishes & Buffet Accessories || Furniture > Home & Office Tables > Breakroom & Dining Tables || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks || Restaurant & Foodservice Supplies > Restaurant Systems || Furniture > Home & Office Tables > Training Room Tables || Restaurant & Foodservice Supplies > Restaurant Apparel > Restaurant Apparel || Restaurant & Foodservice Supplies > Restaurant Apparel,,,
