competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Wayfair,Shop Contractor Spaces > Bedroom > Kid's Bedroom,1,Furniture > Decor > Beds & Bedding|Furniture > Chairs & Seating > Kids Seating,verification loop,Claude labelling agent (review with team),judgement: loft/bunk beds on Beds & Mattresses + kids seating (cf. Contractor Bedroom=1); no dressers
Wayfair,Smallwares > Barware > Coasters,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Gift Shop > Professional Gifts > Bar Accessories,verification loop,Claude labelling agent (review with team),coasters on Tableware and Bar Accessories (cf. WestElm Coasters=1)
Wayfair,Outdoor > Backyard Play > Climbing Toys & Slides,1,School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment,verification loop,Claude labelling agent (review with team),"judgement: consistent with School Spaces Climbing Toys & Slides=1; shelf has swings/seesaw/tunnels, no slides found"
Wayfair,Outdoor > Outdoor Fencing & Flooring > Porch & Stair Railings,0,,verification loop,Claude labelling agent (review with team),no porch/stair railings (cf. fencing=0)
Wayfair,Home Improvement > Outdoor Remodel > Porch & Stair Railings,0,,verification loop,Claude labelling agent (review with team),no porch/stair railings (cf. fencing=0)
Wayfair,Outdoor > Camping & Hiking > Coolers,1,Gift Shop > Professional Gifts > Compasses > Camping,verification loop,Claude labelling agent (review with team),"Camping shelf ~half coolers (Thermos, Ninja, Dbest)"
Wayfair,Outdoor > Garden > Greenhouses,0,,verification loop,Claude labelling agent (review with team),greenhouses not carried (cf. Amazon Greenhouses=0)
Wayfair,Outdoor > Front Door Décor & Curb Appeal > Shutters,0,,verification loop,Claude labelling agent (review with team),no exterior shutters (cf. Outdoor Shades=0)
Wayfair,Outdoor > Outdoor Shades > Shutters,0,,verification loop,Claude labelling agent (review with team),no exterior shutters (cf. Outdoor Shades=0)
Wayfair,Home Improvement > Outdoor Remodel > Shutters,0,,verification loop,Claude labelling agent (review with team),no exterior shutters (cf. Outdoor Shades=0)
Wayfair,Smallwares > Baking Sheets & Pans > Muffin & Cupcake Pans,1,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,verification loop,Claude labelling agent (review with team),"Bakeware lists Cuisinart 12-cup muffin pan, silicone pans"
Wayfair,Outdoor > Garden > Rain Barrels,0,,verification loop,Claude labelling agent (review with team),no rain barrels; search = trash-can rain bonnets
Amazon,Health & Personal Care > Sexual Wellness,0,,verification loop,Claude labelling agent (review with team),sexual wellness not carried; no condoms (cf. subcats=0)
Amazon,"Industrial & Scientific > Test, Measure & Inspect > Calibration",0,,verification loop,Claude labelling agent (review with team),no calibration weights/standards shelf (cf. Decade Boxes=0)
Amazon,"Patio, Lawn & Garden > Outdoor Décor > Chimes",0,,verification loop,Claude labelling agent (review with team),no wind chimes; Outdoor Decor chimes are door chimes
Amazon,Health & Personal Care > Vitamins & Dietary Supplements > Minerals,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,verification loop,Claude labelling agent (review with team),"judgement: supplements shelf on-type; no mineral SKUs found (cf. Vitamins, Minerals & Supplements=1)"
Amazon,"Patio, Lawn & Garden > Outdoor Décor > Flagpole Hardware",1,School Supplies > Teacher Supplies > Classroom Decorations > Flags,verification loop,Claude labelling agent (review with team),"judgement: Flags shelf lists flag brackets, spreader, mounting hardware, pole set"
OfficeDepot,Paper > Notebooks & Pads > Telephone Message Pads & Voicemail Log Books,1,Office Supplies > Notebooks & Notepads > Notepads,verification loop,Claude labelling agent (review with team),"phone message pads/books filed under Notepads (Adams, TOPS, Rediform)"
Amazon,Home & Kitchen > Seasonal Décor > Candleholders,0,,verification loop,Claude labelling agent (review with team),judgement: ~4 seasonal candleholders scattered in tabletop decor (cf. vases=0)
Amazon,Industrial & Scientific > Industrial Hardware > Lock Bolts,0,,verification loop,Claude labelling agent (review with team),no lock/slide/barrel bolts; search finds none
Amazon,"Patio, Lawn & Garden > Grills & Outdoor Cooking > Fuel & Firestarters",0,,verification loop,Claude labelling agent (review with team),no grill charcoal/firestarters/pellets (cf. Grills & Smokers=0)
Amazon,Sports & Outdoors > Sports & Fitness > Australian Rules Football,0,,verification loop,Claude labelling agent (review with team),judgement: no Aussie-rules balls/gear; Sporting Goods has American footballs only
Amazon,Industrial & Scientific > Power Transmission Products > Springs,0,,verification loop,Claude labelling agent (review with team),no industrial springs shelf; search finds none
Amazon,Industrial & Scientific > Raw Materials > Cork,1,Furniture > Boards & Easels > Bulletin Boards,verification loop,Claude labelling agent (review with team),judgement: cork rolls and cork tiles sold on Bulletin Boards
Amazon,Sports & Outdoors > Sports & Fitness > Golf,0,,verification loop,Claude labelling agent (review with team),no golf equipment; only toy/backyard golf games
Amazon,Health & Personal Care > Vision Care > Computer Blue Light Blocking Glasses,1,Expanded Assortment > Personal Care & Eyewear,verification loop,Claude labelling agent (review with team),judgement: ~40 SAV blue-light computer readers on Reading Glasses (eyewear)
Amazon,Sports & Outdoors > Sports & Fitness > Hunting & Fishing,0,,verification loop,Claude labelling agent (review with team),no hunting/fishing gear; search finds toys only
Amazon,"Appliances > Ranges, Ovens & Cooktops > Cooktops",0,,verification loop,Claude labelling agent (review with team),judgement: built-in cooktops not carried (cf. Wall Ovens=0); portable burners sit on Griddles shelf
Amazon,Industrial & Scientific > Industrial Hardware > Hinges,0,,verification loop,Claude labelling agent (review with team),no hinges shelf; only one healthcare offset door hinge
Amazon,"Patio, Lawn & Garden > Outdoor Décor > Backyard Birding & Wildlife",1,"Expanded Assortment > Pet Supplies & Accessories > Bird Supplies > Bird Food, Treats and Healthcare",verification loop,Claude labelling agent (review with team),judgement: shelf = 4 smart wild-bird feeders; thin but on-type (bird houses=0)
Amazon,Sports & Outdoors > Sports & Fitness > Boating & Sailing,0,,verification loop,Claude labelling agent (review with team),no boating/sailing gear; Water Recreation = pool storage bins
