competitor,comp_path,context_path,is_leaf,source,candidates,staples_carries,gold_staples_path,note
Walmart,Personal Care > Bath & Body > Dove x Crumbl,Personal Care > Bath & Body > Dove x Crumbl,True,stratified sample,"Retail Store Supplies > Spa & Salon > Bath & Body || Healthcare Supplies > Personal Care > Skin Care > Bath Soap & Body Wash || Retail Store Supplies > Spa & Salon > Bath & Body > Shower Caps || Retail Store Supplies > Spa & Salon > Bath & Body > Body Treatments || Healthcare Supplies > Personal Care > Skin Care > Body Powder || Coffee, Water & Snacks > Paper Products > Toilet Paper & Bath Tissue || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids || Healthcare Supplies > Personal Care > Baby Care > Baby Skin Care || Furniture > Decor > Bath & Shower Accessories || Healthcare Supplies > Personal Care > Baby Care > Baby Wipes || Healthcare Supplies > Durable Medical Equipment > Mobility Aids > Crutches || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",,,
Walmart,Health and Medicine > Vision Centers > Reading Glasses > Reading Sunglasses,Health and Medicine > Vision Centers > Reading Glasses > Reading Sunglasses,True,stratified sample,"Safety Supplies > Personal Protective Equipment (PPE) > Eye Protection > Safety Glasses, Goggles & Accessories || Wearable Technology > Camera Glasses || Expanded Assortment > Personal Care & Eyewear || Expanded Assortment > Personal Care & Eyewear > Hair Styling Products || Office Supplies > Writing Supplies & Instruments > Correction & White Out || Safety Supplies > Personal Protective Equipment (PPE) > Head & Face Protection > Hard Hats & Safety Helmets || Safety Supplies > Personal Protective Equipment (PPE) > Head & Face Protection > Hard Hat & Safety Helmet Accessories || Gift Shop > Home, Personal & Travel > Binoculars, Cameras & Telescopes || Wearable Technology > Smart Watches || Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Medical Take Home Bags || Gift Shop > Professional Gifts > Compasses || Party Supplies > Wedding Supplies > Wedding Glassware",,,
Walmart,Cell Phones > Phone & Data Plans > Straight Talk Prepaid Plans,Cell Phones > Phone & Data Plans > Straight Talk Prepaid Plans,True,stratified sample,"Phones, Cameras & Electronics > Cell Phone Cases || Phones, Cameras & Electronics > Cell Phone Accessories || Phones, Cameras & Electronics > Phones & Accessories > Office Phones || Phones, Cameras & Electronics > Cell Phone Mounts & Holders || Phones, Cameras & Electronics > Cell Phones || Phones, Cameras & Electronics > Cell Phone Screen Protectors || Phones, Cameras & Electronics > Phones & Accessories > Phone Accessories || Phones, Cameras & Electronics > Phones & Accessories > Landline Phones || Retail Store Supplies > Point of Sale (POS) Equipment > Credit Card Readers || Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Medical Take Home Bags || School Supplies > Teacher Supplies > Teacher Resources > Lesson Plans & Grade Books || Cleaning Supplies > Sink Strainers",,,
Walmart,Sports & Outdoors > Sports > Basketball > Basketball Training,Sports & Outdoors > Sports > Basketball > Basketball Training,True,stratified sample,"School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || School Supplies > Learning at Home > Learning Games || School Supplies > College Supplies || School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || School Supplies > Teacher Supplies > Physical Education & Recreation || School Supplies > School Tech || School Supplies > Learning at Home || School Supplies > Teacher Supplies > Physical Education & Recreation > Physical Education Equipment || School Supplies > Learning at Home > Home School Supplies || Gift Shop > Game Room & Toys > Game Room > Sports Displays & Collectibles || Furniture > Home & Office Tables > Training Room Tables || Healthcare Supplies > First Aid > First Aid, AED & CPR Training & Program Management",,,
Walmart,Arts Crafts & Sewing > Crafting > Speciality Crafts & Hobbies > Glass Mosaics,Arts Crafts & Sewing > Crafting > Speciality Crafts & Hobbies > Glass Mosaics,True,stratified sample,"Arts & Crafts > Painting Accessories || Arts & Crafts > Crafting || Arts & Crafts > Crafting > Art Portfolios & Craft Storage || Arts & Crafts > Crafting > Craft Supplies || Arts & Crafts > Crafting > Craft Kits || Arts & Crafts > Paint || Furniture > Decor > Wall Art > Kids & Whimsical Art || Furniture > Decor > Wall Art > Floral Art || Furniture > Decor > Wall Art || Furniture > Decor > Wall Art > Wall Art/Decor || Wearable Technology > Camera Glasses || Safety Supplies > Personal Protective Equipment (PPE) > Eye Protection > Safety Glasses, Goggles & Accessories",,,
Walmart,Health and Medicine > Pain management > (unnamed ID 9185253) > Motrin,Health and Medicine > Pain management > Motrin,True,stratified sample,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pain Relievers || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pill Organizers & Storage || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > OTC Pharmaceuticals || Retail Store Supplies > Store Security & Operations > Motion Detectors || Computers & Accessories > Computer Parts & Components > Motherboards",,,
Walmart,Arts Crafts & Sewing > Sewing > Sewing Machine Parts > Presser Feet,Arts Crafts & Sewing > Sewing > Sewing Machine Parts > Presser Feet,True,stratified sample,"Retail Store Supplies > Sewing & Tailoring > Sewing Machines || Retail Store Supplies > Sewing & Tailoring > Sewing Tools || Retail Store Supplies > Sewing & Tailoring > Needles & Pins || Cleaning Supplies > Floor & Carpet Cleaning Equipment > Floor Machines & Burnishers || Retail Store Supplies > Sewing & Tailoring > Patterns & Sewing Books || Tools, Parts & Supplies > Hand Tools > Electrical Tools, Meters & Fish Tape || Office Supplies > Scissors, Hole Punches & Paper Cutters || Office Supplies > Clips, Fasteners & Rubber Bands > Thumb Tacks & Push Pins || Retail Store Supplies > Sewing & Tailoring > Sewing Rulers || Cleaning Supplies > Floor & Carpet Cleaning Equipment > Floor Pads || Facilities > Grounds Maintenance > Outdoor Tools > Pressure Washers & Accessories || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Blood Pressure Monitors",,,
Walmart,Health and Medicine > Vitamins and Supplements > One a Day > One a Day 50 Adults,Health and Medicine > Vitamins and Supplements > One a Day > One a Day 50 Adults,True,stratified sample,Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Medical Take Home Bags || Healthcare Supplies > Personal Care > Baby Care > Youth Feeding Supplies || Gift Shop > As Seen on TV || Healthcare Supplies > Personal Care > Period Care || Furniture > Decor > Wall Art > Still Life || Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Personal Care Kits || School Supplies > Preschool Supplies > Pretend Play & Dress Up || Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients > Eating & Drinking Aids || Healthcare Supplies > Personal Care > Baby Care || Healthcare Supplies > Patient Care > Practice Front Desk Supplies || Healthcare Supplies > Personal Care > Incontinence > Adult Briefs || Healthcare Supplies > Personal Care > Maternity > Maternity Belts,,,
Walmart,Party & Occasions > Lumberjack Party Supplies > Lumberjack Decorative Baking,Party & Occasions > Lumberjack Party Supplies > Lumberjack Decorative Baking,True,stratified sample,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations || Party Supplies > Party Favors & Costumes > Party Hats || Furniture > Decor > Seasonal Decor > Ornaments & Tree Decor || Restaurant & Foodservice Supplies > Restaurant Apparel > Restaurant Apparel > Aprons & Gloves || Furniture > Decor > Seasonal Decor > Standing Decor || Party Supplies > Wrapping Supplies || Party Supplies > Ribbon, Bows & Wrapping Supplies || School Supplies > Teacher Supplies > Classroom Decorations > Decorative Accents & Board Sets || Party Supplies > Napkins || Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Furniture > Decor > Home & Office Decor > Decorative Plates || Furniture > Decor > Decorative Accents",,,
Walmart,Health and Medicine > Smoking Cessation > Cope With Withdrawal > Stay Hydrated,Health and Medicine > Smoking Cessation > Cope With Withdrawal > Stay Hydrated,True,stratified sample,"Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients > Eating & Drinking Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Stop Smoking Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients || Healthcare Supplies > Personal Care > Skin Care > Skin Care Treatment || Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Alcohol Pads || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > Personal Care > Skin Care > Body Powder || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Appliances & Kitchenware > Small Appliances > Food Dehydrators || Tools, Parts & Supplies > Power Tools > Hydraulic Drivers & Punch Kits",,,
Walmart,Sports & Outdoors > Bikes > Bike Accessories > Bike Locks,Sports & Outdoors > Bikes > Bike Accessories > Bike Locks,True,stratified sample,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Luggage Tags, Locks & Covers || Tools, Parts & Supplies > Automotive > Tires & Wheels || School Supplies > Teacher Supplies > Physical Education & Recreation > Bicycles, Tricycles & Accessories || Facilities > Paint Supplies > Paint Accessories > Roller Frames || Safety Supplies > Personal Protective Equipment (PPE) > Head & Face Protection > Hard Hat & Safety Helmet Accessories || Facilities > Paint Supplies > Paint Accessories > Roller Covers || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Shoe Racks || Healthcare Supplies > Durable Medical Equipment > Mobility Aids > Motorized Scooters || Safety Supplies > Personal Protective Equipment (PPE) > Head & Face Protection > Hard Hats & Safety Helmets || Facilities > Hardware > Door Hardware > Door Stops & Bumpers || Smart Home & Security > Smart Locks || Computers & Accessories > Computer Accessories & Peripherals > Laptop Accessories > Laptop Locks",,,
Walmart,Sports & Outdoors > Sports > Soccer Gear and Equipment > Soccer Balls,Sports & Outdoors > Sports > Soccer Gear and Equipment > Soccer Balls,True,stratified sample,School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || Gift Shop > Game Room & Toys > Game Room > Sports Displays & Collectibles || Gift Shop > Game Room & Toys > Game Room > Sports Memorabilia & Collectibles || School Supplies > Teacher Supplies > Physical Education & Recreation > Sporting Goods || Healthcare Supplies > Patient Care > Exam Room Supplies & Equipment > Cotton Balls || Gift Shop > Game Room & Toys > Game Room > Darts & Dart Boards || School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || Furniture > Decor > Wall Art > Sports Art || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || School Supplies > Teacher Supplies > Physical Education & Recreation > Riding Toys & Wagons || Safety Supplies > Personal Protective Equipment (PPE) > Workwear & Rainwear > Coveralls & Overalls || Party Supplies > Balloons & Accessories > Balloons,,,
Walmart,Health and Medicine > Foot Care > Natureplex,Health and Medicine > Foot Care > Natureplex,True,stratified sample,Healthcare Supplies > Personal Care > Skin Care || Healthcare Supplies > Wound Care || Healthcare Supplies > Patient Care > Medical Practice Furniture || Healthcare Supplies > Personal Care > Baby Care || Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Medical Take Home Bags || Healthcare Supplies > Patient Care || Healthcare Supplies > Personal Care > Skin Care > Skin Care Treatment || Healthcare Supplies > Patient Care > Practice Front Desk Supplies || Healthcare Supplies > Personal Care > Baby Care > Baby Skin Care || Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Personal Care Kits || Furniture > Decor > Wall Art > Nature Landscape Art || Cleaning Supplies > Natural Cleaning Supplies > Natural Cleaning Supplies,,,
Walmart,Health and Medicine > Vision Centers > Reading Glasses > 2 75 Reading Glasses,Health and Medicine > Vision Centers > Reading Glasses > 2 75 Reading Glasses,True,stratified sample,"Office Supplies > Writing Supplies & Instruments > Correction & White Out || Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Medical Take Home Bags || Safety Supplies > Personal Protective Equipment (PPE) > Eye Protection > Safety Glasses, Goggles & Accessories || Wearable Technology > Camera Glasses || Gift Shop > As Seen on TV || School Supplies > Learning at Home > Board & Card Games || School Supplies > Teacher Supplies > Classroom Books & Digital Media > Classroom Books || Healthcare Supplies > Patient Care > Practice Front Desk Supplies || School Supplies > Learning at Home || School Supplies > Teacher Supplies > Classroom Books & Digital Media || Party Supplies > Wedding Supplies > Wedding Glassware || Restaurant & Foodservice Supplies > Tabletop > Glassware",,,
Walmart,Party & Occasions > Halloween Costumes > Kpop Popstar Costumes,Party & Occasions > Halloween Costumes > Kpop Popstar Costumes,True,stratified sample,"Party Supplies > Party Favors & Costumes > Costumes & Accessories || Party Supplies > Party Favors & Costumes > Party Hats || Party Supplies > Party Favors & Costumes || Party Supplies > Party Favors & Costumes > Party Favors || Party Supplies > Wedding Supplies > Wedding Decorations & Supplies || School Supplies > Learning at Home > Pretend Play > Dolls & Dollhouses || School Supplies > Preschool Supplies > Pretend Play & Dress Up || Party Supplies > Wedding Supplies > Wedding Favors || Party Supplies > Party Favors & Costumes > Favor Bags & Boxes || Gift Shop > Wedding Invitations & Kits || Retail Store Supplies > Store Fixtures & Retail Displays > Costumers || Coffee, Water & Snacks > Snacks & Food > Popcorn",,,
Walmart,Party & Occasions > Hello Kitty Party Supplies > Hello Kitty Party Decorations,Party & Occasions > Hello Kitty Party Supplies > Hello Kitty Party Decorations,True,stratified sample,"Party Supplies > Party Favors & Costumes || Party Supplies > Party Favors & Costumes > Party Hats || Party Supplies > Party Favors & Costumes > Favor Bags & Boxes || Party Supplies > Party Favors & Costumes > Party Favors || Party Supplies > Balloons & Accessories || Expanded Assortment > Pet Supplies & Accessories > Dog & Cat Supplies > Cat Treats || Party Supplies > Party Favors & Costumes > Costumes & Accessories || Party Supplies > Wedding Supplies > Wedding Decorations & Supplies || Party Supplies > Wedding Supplies || Party Supplies > Ribbon, Bows & Wrapping Supplies || School Supplies > Teacher Supplies > Classroom Decorations || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations",,,
Walmart,Industrial & Scientific > Medical & Dental > CPAP Products > Cpap Tubing,Industrial & Scientific > Medical & Dental > CPAP Products > Cpap Tubing,True,stratified sample,"Laboratory & Scientific Supplies > Lab Instruments & Equipment > Tubing, Hose & Fittings || Healthcare Supplies > Professional Dental Supplies > Dental Instruments > Ultrasonic Scaler Tips & Inserts || Healthcare Supplies > Patient Care > Urology & Ostomy > Catheters & Catheter Trays || Healthcare Supplies > Professional Dental Supplies > Orthodontic || Shipping, Packing & Mailing Supplies > Shipping Supplies > Poly Bags & Tubing > Poly Tubing || Healthcare Supplies > Patient Care > Urology & Ostomy > Catheter Securement Devices || Laboratory & Scientific Supplies > Lab Instruments & Equipment > Sterilizers, Autoclaves & Accessories || Safety Supplies > Personal Protective Equipment (PPE) > Face Masks & Respirators || Healthcare Supplies > Professional Dental Supplies > Dental Instruments || Healthcare Supplies > Durable Medical Equipment > Orthopedics > Compression Socks & Hosiery || Shipping, Packing & Mailing Supplies > Shipping Supplies > Poly Bags & Tubing || Facilities > Plumbing",,,
Walmart,Health and Medicine > Pain management > Tylenol,Health and Medicine > Pain management > Tylenol,False,stratified sample,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pain Relievers || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pill Organizers & Storage || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Stop Smoking Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Retail Store Supplies > Spa & Salon > Hair > Hair Styling Tools || Phones, Cameras & Electronics > Stylus & Smart Pens",,,
Walmart,Party & Occasions > Thanksgiving Party Supplies > Thanksgiving Centerpieces,Party & Occasions > Thanksgiving Party Supplies > Thanksgiving Centerpieces,True,stratified sample,Party Supplies > Wedding Supplies > Wedding Decorations & Supplies || Party Supplies > Wedding Supplies > Wedding Favors || Gift Shop > Wedding Invitations & Kits || Party Supplies > Party Favors & Costumes > Party Favors || Gift Shop > Invitations || Party Supplies > Party Favors & Costumes || Party Supplies > Wedding Supplies || Party Supplies > Wedding Supplies > Wedding Glassware || Party Supplies > Napkins || Party Supplies > Balloons & Accessories || Audio > Portable Audio > Listening Centers || Furniture > Decor > Home & Office Decor > Living Room Accents,,,
Walmart,Walmart for Business > Medical & Dental > Patient Care > Reflex Hammers,Walmart for Business > Medical & Dental > Patient Care > Reflex Hammers,True,stratified sample,"Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Neurological & Sensory Instruments || Healthcare Supplies > Durable Medical Equipment > Positioning Aids & Pressure Relief || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Medical Scissors & Shears || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Blood Pressure Monitors || Healthcare Supplies > Professional Dental Supplies > Dental Instruments > Mouth Props, Cheek Retractors & Gags || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > Patient Care > Medical Practice Furniture > Medical Instrument Stands & Trays || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Health & Body Weight Scales || Healthcare Supplies > Durable Medical Equipment > Hearing Aids || Healthcare Supplies > Patient Care > Exam Room Supplies & Equipment > Patient Alarms || Facilities > Hand & Power Tools > Hand Tools > Hammers & Striking Tools || Safety Supplies > Personal Protective Equipment (PPE) > Workwear & Rainwear > Reflective Shirts",,,
