competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Walmart,Health and Medicine > Vision Centers > Reading Glasses > Reading Sunglasses,1,Expanded Assortment > Personal Care & Eyewear,stratified sample,Claude labelling agent (review with team),judgement: readers under Staples eyewear shelf
Walmart,Cell Phones > Phone & Data Plans > Straight Talk Prepaid Plans,0,,stratified sample,Claude labelling agent (review with team),carrier service plans; not a Staples shelf
Walmart,Sports & Outdoors > Sports > Basketball > Basketball Training,1,School Supplies > Teacher Supplies > Physical Education & Recreation > Sporting Goods,stratified sample,Claude labelling agent (review with team),judgement: basketball training gear under PE sporting goods
Walmart,Arts Crafts & Sewing > Crafting > Speciality Crafts & Hobbies > Glass Mosaics,0,,stratified sample,Claude labelling agent (review with team),judgement: stained-glass mosaic supplies; no Staples shelf
Walmart,Health and Medicine > Pain management > (unnamed ID 9185253) > Motrin,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pain Relievers,stratified sample,Claude labelling agent (review with team),
Walmart,Arts Crafts & Sewing > Sewing > Sewing Machine Parts > Presser Feet,1,Retail Store Supplies > Sewing & Tailoring > Sewing Machines|Retail Store Supplies > Sewing & Tailoring > Sewing Tools,stratified sample,Claude labelling agent (review with team),judgement: sewing-machine accessories
Walmart,Health and Medicine > Vitamins and Supplements > One a Day > One a Day 50 Adults,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Lumberjack Party Supplies > Lumberjack Decorative Baking,1,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations",stratified sample,Claude labelling agent (review with team),themed cupcake/cake decorations
Walmart,Health and Medicine > Smoking Cessation > Cope With Withdrawal > Stay Hydrated,1,"Coffee, Water & Snacks > Water & Beverages",stratified sample,Claude labelling agent (review with team),"judgement: curated page, likely water/electrolyte drinks"
Walmart,Sports & Outdoors > Bikes > Bike Accessories > Bike Locks,1,"School Supplies > Teacher Supplies > Physical Education & Recreation > Bicycles, Tricycles & Accessories",stratified sample,Claude labelling agent (review with team),judgement: bike accessories under PE bicycles shelf
Walmart,Sports & Outdoors > Sports > Soccer Gear and Equipment > Soccer Balls,1,School Supplies > Teacher Supplies > Physical Education & Recreation > Sporting Goods,stratified sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Foot Care > Natureplex,1,Healthcare Supplies > Personal Care > Skin Care|Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Antifungals,stratified sample,Claude labelling agent (review with team),judgement: foot-care brand page
Walmart,Health and Medicine > Vision Centers > Reading Glasses > 2 75 Reading Glasses,1,Expanded Assortment > Personal Care & Eyewear,stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Halloween Costumes > Kpop Popstar Costumes,1,Party Supplies > Party Favors & Costumes > Costumes & Accessories,stratified sample,Claude labelling agent (review with team),licensed costume; product-type match
Walmart,Party & Occasions > Hello Kitty Party Supplies > Hello Kitty Party Decorations,1,Party Supplies > Party Décor,stratified sample,Claude labelling agent (review with team),themed; product-type match
Walmart,Industrial & Scientific > Medical & Dental > CPAP Products > Cpap Tubing,1,Healthcare Supplies > Patient Care > Respiratory Therapy,stratified sample,Claude labelling agent (review with team),judgement: CPAP supplies under respiratory therapy
Walmart,Health and Medicine > Pain management > Tylenol,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pain Relievers,stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Thanksgiving Party Supplies > Thanksgiving Centerpieces,1,Party Supplies > Party Décor|Furniture > Decor > Seasonal Decor > Figurines & Tabletop Decor,stratified sample,Claude labelling agent (review with team),
Walmart,Walmart for Business > Medical & Dental > Patient Care > Reflex Hammers,1,Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Neurological & Sensory Instruments,stratified sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Allergy Medicine > Nasalcrom,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",stratified sample,Claude labelling agent (review with team),
Walmart,Arts Crafts & Sewing > Crafting > Printmaking > Printing Presses Accessories,0,,stratified sample,Claude labelling agent (review with team),printmaking presses; no Staples shelf
Walmart,Home > Personalized Gifts > Personalized Pet Gifts > Personalized Pet Memorials,0,,stratified sample,Claude labelling agent (review with team),judgement: pet memorial keepsakes; Staples photo gifts not a match
Walmart,Party & Occasions > Party Supplies > (unnamed ID 6339104) > Halloween Candy Buffet Treat Decorating,1,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations|Party Supplies > Party Favors & Costumes > Favor Bags & Boxes",stratified sample,Claude labelling agent (review with team),judgement: treat decorating + treat bags
Walmart,Party & Occasions > Spirit Riding Free Party Supplies > Spirit Riding Free Cards,1,Gift Shop > Invitations|Paper > Stationery & Invitations,stratified sample,Claude labelling agent (review with team),themed invitations/thank-you cards
Walmart,Patio & Garden > Garden Center > Garden Tools > Hand Cultivators,1,Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools,stratified sample,Claude labelling agent (review with team),
Walmart,Household Essentials,1,"Cleaning Supplies|Coffee, Water & Snacks > Paper Products",stratified sample,Claude labelling agent (review with team),broad dept: cleaning/laundry + paper goods
Walmart,Party & Occasions > Halloween Costumes > Angry Birds Costumes,1,Party Supplies > Party Favors & Costumes > Costumes & Accessories,stratified sample,Claude labelling agent (review with team),licensed costume; product-type match
Walmart,Party & Occasions > Baby Shark Party Supplies > Baby Shark Party Decorations,1,Party Supplies > Party Décor,stratified sample,Claude labelling agent (review with team),themed; product-type match
Walmart,Arts Crafts & Sewing > Art Supplies > Ceramic & Pottery Supplies,1,Arts & Crafts > Crafting > Craft Supplies|School Supplies > School Art Supplies,stratified sample,Claude labelling agent (review with team),judgement: clay/pottery as craft & school art supplies
Walmart,Patio & Garden > Patio & Outdoor Decor > (unnamed ID 2025934) > Outdoor Rugs 5 X 8,1,Decor > Rugs,stratified sample,Claude labelling agent (review with team),
Walmart,Industrial & Scientific > Food Service Equipment & Supplies > Food Trailers,0,,stratified sample,Claude labelling agent (review with team),food trailers; not carried
Walmart,Party & Occasions > Halloween Costumes > Gamer Halloween Costumes,1,Party Supplies > Party Favors & Costumes > Costumes & Accessories,stratified sample,Claude labelling agent (review with team),
Walmart,Personal Care > Bath & Body > CleanLogic,1,Retail Store Supplies > Spa & Salon > Bath & Body,stratified sample,Claude labelling agent (review with team),judgement: bath sponges/body scrubbers brand
Walmart,"Home Improvement > Heating, Cooling, & Air Quality > Evaporative Coolers and Parts > Evaporative Cooler Parts Accessories",0,,stratified sample,Claude labelling agent (review with team),judgement: evaporative-cooler repair parts; no Staples shelf
Walmart,Personal Care > Shaving > Shave Oil,1,Retail Store Supplies > Spa & Salon > Shaving > Hair Removal & Shaving Products,stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Halloween Costumes > Mickey Mouse Costumes,1,Party Supplies > Party Favors & Costumes > Costumes & Accessories,stratified sample,Claude labelling agent (review with team),licensed costume; product-type match
Walmart,Party & Occasions > Halloween Costumes > Genie Costume,1,Party Supplies > Party Favors & Costumes > Costumes & Accessories,stratified sample,Claude labelling agent (review with team),
Walmart,Personal Care > Bath & Body > Body Butters,1,Healthcare Supplies > Personal Care > Skin Care > Lotion & Moisturizer,stratified sample,Claude labelling agent (review with team),
Walmart,Personal Care > Personal Care by Brand > Cremo,1,Retail Store Supplies > Spa & Salon > Shaving > Hair Removal & Shaving Products|Healthcare Supplies > Personal Care > Skin Care > Bath Soap & Body Wash,stratified sample,Claude labelling agent (review with team),men's grooming brand (shave + body wash)
Walmart,Walmart for Business > Food Service Equipment & Supplies > Food Truck Supplies & Equipment > Serving Disposables,1,"Restaurant & Foodservice Supplies > Disposable Food Packaging|Coffee, Water & Snacks > Plates, Cups & Cutlery",stratified sample,Claude labelling agent (review with team),
Walmart,Household Essentials > Cleaning Supplies > (unnamed ID 2963058) > Scrubbing Bubbles Toilet Cleaners,1,Cleaning Supplies > Cleaning Chemicals & Wipes > Cleaning Chemicals,stratified sample,Claude labelling agent (review with team),
Walmart,Walmart for Business > Breakroom Supplies > Breakroom Appliances > Pressure Cookers,1,Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters|Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,stratified sample,Claude labelling agent (review with team),judgement: no pressure-cooker leaf; multi-cookers
Walmart,Patio & Garden > Patio & Outdoor Decor > Garden Decorations > Pinwheels Spinners,1,Gift Shop > Professional Gifts > Compasses > Outdoor Decor,stratified sample,Claude labelling agent (review with team),judgement: wind spinners = outdoor decor
Walmart,"Home > Appliances > Ranges, Ovens and Cooktops > Convection Ovens",0,,stratified sample,Claude labelling agent (review with team),judgement: under Ranges/Ovens/Cooktops = full-size ovens (cf. Amazon wall ovens); countertop would be Toaster Ovens
Walmart,Sports & Outdoors > Outdoor Sports > Self Defense Tools > Pepper Spray,0,,stratified sample,Claude labelling agent (review with team),self-defense sprays; not carried
Walmart,Party & Occasions > Wedding Shop > Bridal Shower > Bridal Shower Party Decorations,1,Party Supplies > Wedding Supplies > Wedding Decorations & Supplies|Party Supplies > Party Décor,stratified sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Protein > Quest Nutrition,1,"Coffee, Water & Snacks > Snacks & Food > Snacks & Granola Bars",stratified sample,Claude labelling agent (review with team),judgement: brand mostly protein bars/snacks
Walmart,Industrial & Scientific > Professional Safety Shop > Foot Protection > Tactical & Military Foot Protection,0,,stratified sample,Claude labelling agent (review with team),judgement: tactical/safety boots; no Staples work-footwear shelf
Walmart,Seasonal > Back to School > Shop all Back to School,1,School Supplies,stratified sample,Claude labelling agent (review with team),
Walmart,Office Supplies > Folders > Expanding Folders,1,Office Supplies > Folders & Filing > Accordion Folders,stratified sample,Claude labelling agent (review with team),
Walmart,Household Essentials > Cleaning Supplies > Clorox All Purpose Cleaners > Clorox Wipes,1,Cleaning Supplies > Cleaning Chemicals & Wipes > Disinfectant Wipes,stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Wedding Shop > Wedding Planning > Notebooks Planners,1,Office Supplies > Calendars & Planners > Planners & Personal Organizers|Office Supplies > Notebooks & Notepads > Journals & Diaries,stratified sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Children's Health > Children's Cough Cold,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",stratified sample,Claude labelling agent (review with team),
Walmart,Industrial & Scientific > Occupational Health & Safety Products > Facility Safety,1,Safety Supplies,stratified sample,Claude labelling agent (review with team),
Walmart,Electronics > Cameras & Camcorders > Shop Cameras by Brand > Fujifilm Cameras,1,"Phones, Cameras & Electronics > Cameras, Camcorders & Accessories > Cameras & Camcorders",stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Curious George Party Supplies,1,Party Supplies,stratified sample,Claude labelling agent (review with team),themed party supplies; product-type match
Walmart,Home > Personalized Gifts > Personalized Father's Day Gifts > Personalized Men's Jewelry,0,,stratified sample,Claude labelling agent (review with team),judgement: men's jewelry (bracelets/necklaces); Staples only cufflinks/money clips
Walmart,Health and Medicine > Vitamins and Supplements > Hair Skin and Nails,1,Healthcare Supplies > Personal Care > Skin Care > Supplements|Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,stratified sample,Claude labelling agent (review with team),
Walmart,Industrial & Scientific > Medical & Dental > CPAP Products,1,Healthcare Supplies > Patient Care > Respiratory Therapy,stratified sample,Claude labelling agent (review with team),judgement: CPAP supplies under respiratory therapy
Walmart,Home > Dorm Room Essentials > Dorm Bedding,1,Furniture > Decor > Beds & Bedding,stratified sample,Claude labelling agent (review with team),
Walmart,Home > Furniture > Bedroom Furniture > Queen Headboard,1,Furniture > Decor > Beds & Bedding > Headboards,stratified sample,Claude labelling agent (review with team),
Walmart,Personal Care > Oral Care > FSA/HSA Eligible Dental Care,1,Healthcare Supplies > Personal Dental Care > Oral Care,stratified sample,Claude labelling agent (review with team),
Walmart,Home > Furniture > Office Furniture > White Office Furniture,1,Furniture,stratified sample,Claude labelling agent (review with team),colour-filtered office furniture page -> Furniture dept
Walmart,Office Supplies > Laminators & Laminating Supplies > Scotch Laminators,1,Office Supplies > Laminators & Supplies > Laminating Machines,stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Baptism Party Supplies > Baptism Invitations & Cards,1,Gift Shop > Invitations|Gift Shop > Greeting Cards,stratified sample,Claude labelling agent (review with team),
Walmart,Home Improvement > Home Safety > Personal Safety,0,,stratified sample,Claude labelling agent (review with team),judgement: personal alarms/self-defense; no Staples shelf
Walmart,Household Essentials > Paper & Plastic > Wax Paper,1,Restaurant & Foodservice Supplies > Disposable Food Packaging > Food Packaging Wrap > Food Wrap & Foils,stratified sample,Claude labelling agent (review with team),
Walmart,Electronics > TV & Home Theater > Shop TVS by Type > Roku TVS,1,TV & Streaming Media > TV & Video > TVs,stratified sample,Claude labelling agent (review with team),
Walmart,Personal Care > Sun Care > Mineral Sunscreen,1,Healthcare Supplies > Personal Care > Skin Care > Sunscreen & Sunblock,stratified sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Cars Party Supplies > Cars Party Favors,1,Party Supplies > Party Favors & Costumes > Party Favors,stratified sample,Claude labelling agent (review with team),themed; product-type match
Walmart,Home > Decor > Decorative Accents > Sculptures,1,"Gift Shop > Home, Personal & Travel > Sculptures & Figurines|Furniture > Decor > Decorative Accents",stratified sample,Claude labelling agent (review with team),
Walmart,Office Supplies > Retail Essentials > Office Signs > Business Card Holders Name Plates,1,Office Supplies > Desk Organizers & Accessories > Business Card Holders & Files,stratified sample,Claude labelling agent (review with team),name plates only partly covered
Walmart,Arts Crafts & Sewing > Arts & Crafts Furniture and Storage > Art Portfolio & Poster Storage,1,Arts & Crafts > Crafting > Art Portfolios & Craft Storage,stratified sample,Claude labelling agent (review with team),
Walmart,Home > Appliances > Refrigerators > Mini Fridges Compact Refrigerators,1,Appliances & Kitchenware > Major Appliances > Refrigerators,stratified sample,Claude labelling agent (review with team),
Walmart,Household Essentials > Laundry > (unnamed ID 1277425) > High Efficient Liquid Laundry Detergent,1,Cleaning Supplies > Laundry Care > Laundry Detergent,stratified sample,Claude labelling agent (review with team),
Walmart,Walmart for Business > Food Service Equipment & Supplies > Storage & Transport,1,Restaurant & Foodservice Supplies > Restaurant Storage & Transport,stratified sample,Claude labelling agent (review with team),
Walmart,Home > Decor > Lighting & Light Fixtures > Ceiling Fixtures,1,Furniture > Lamps & Lighting > Ceiling Lighting,stratified sample,Claude labelling agent (review with team),
Walmart,"Home Improvement > Heating, Cooling, & Air Quality > Fans",1,Facilities > Heating & Cooling > General Purpose Fans,stratified sample,Claude labelling agent (review with team),
Walmart,Personal Care > Bath & Body > Hempz Body Wash,1,Healthcare Supplies > Personal Care > Skin Care > Bath Soap & Body Wash,stratified sample,Claude labelling agent (review with team),
Walmart,Household Essentials > Paper & Plastic > Food Storage Containers,1,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization|Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Food Storage & Containers,stratified sample,Claude labelling agent (review with team),
Walmart,Office Supplies > Retail Essentials > Clipboards > Plastic Clipboards,1,Office Supplies > Office Basics > Clipboards,stratified sample,Claude labelling agent (review with team),
Walmart,Home > Furniture > Office Furniture > 1 Drawer File Cabinets,1,Furniture > File Cabinets,stratified sample,Claude labelling agent (review with team),
Walmart,Home Improvement > Tools > Personal Protective Equipment > Masks Respirators,1,Safety Supplies > Personal Protective Equipment (PPE) > Face Masks & Respirators,stratified sample,Claude labelling agent (review with team),
Walmart,Home > Furniture > Office Furniture,1,Furniture,stratified sample,Claude labelling agent (review with team),
Walmart,Home Improvement > Paint > Interior Paint > Wall Paint,1,Facilities > Paint Supplies > Paint > Interior Paint,stratified sample,Claude labelling agent (review with team),
Walmart,Office Supplies > School Supplies,1,School Supplies,stratified sample,Claude labelling agent (review with team),
Walmart,Office Supplies > Binders & Accessories > Binders,1,Office Supplies > Binders,stratified sample,Claude labelling agent (review with team),
Walmart,Walmart for Business > Teaching and Classroom Supplies > Classroom Organization,1,School Supplies > Teacher Supplies > Classroom Storage & Organization,stratified sample,Claude labelling agent (review with team),
Walmart,Office Supplies > Retail Essentials > Time Clocks & Cards,1,Retail Store Supplies > Time Clock Systems|Retail Store Supplies > Time Clock Cards & Racks,stratified sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Allergy Medicine > Simply Saline,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",gap-enriched sample,Claude labelling agent (review with team),
Walmart,Home Improvement > Building Materials > Insulation > Attic Insulation,0,,gap-enriched sample,Claude labelling agent (review with team),building insulation; not carried
Walmart,Sports & Outdoors > Bikes > Kids Bikes > Boys Bikes,1,"School Supplies > Teacher Supplies > Physical Education & Recreation > Bicycles, Tricycles & Accessories",gap-enriched sample,Claude labelling agent (review with team),judgement: kids bikes under PE bicycles shelf
Walmart,Party & Occasions > Pirate Party Supplies > Pirate Cards,1,Gift Shop > Invitations|Paper > Stationery & Invitations,gap-enriched sample,Claude labelling agent (review with team),themed invitations/thank-you cards
Walmart,Sports & Outdoors > Exercise & Fitness > Pilates > Yoga Pilates Bands,1,Fitness > Fitness Equipment|Expanded Assortment > Fitness,gap-enriched sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Protein > Scivation > Xtend Bcaa Bcaas Hydration,0,,gap-enriched sample,Claude labelling agent (review with team),judgement: BCAA sports-nutrition powder; no Staples sports-nutrition shelf (cf. pre-workout)
Walmart,Electronics > Smart Home > Shop by Compatibility > Ifttt Compatible,1,Smart Home & Security,gap-enriched sample,Claude labelling agent (review with team),compatibility filter page -> smart home dept
Walmart,Arts Crafts & Sewing > Elmer's > Elmer's Glitter Glues,1,"Office Supplies > Tape, Fasteners & Adhesives > Glue & Glue Sticks",gap-enriched sample,Claude labelling agent (review with team),
Walmart,Party & Occasions > Emoji Party Supplies > Emoji Tableware,1,Party Supplies > Disposable Plates|Party Supplies,gap-enriched sample,Claude labelling agent (review with team),themed party tableware; product-type match
Walmart,Sports & Outdoors > Outdoor Sports > The Eddie Bauer Shop,1,Gift Shop > Professional Gifts > Compasses > Camping|Expanded Assortment > Outdoors & Recreation,gap-enriched sample,Claude labelling agent (review with team),judgement: brand shop of camping/outdoor gear
Walmart,Cell Phones > Phone & Data Plans > Family Plans,0,,gap-enriched sample,Claude labelling agent (review with team),carrier service plans; not a Staples shelf
Walmart,Health and Medicine > Protein > Fairlife Protein Shakes,1,"Coffee, Water & Snacks > Water & Beverages > Energy & Sports Drinks",gap-enriched sample,Claude labelling agent (review with team),judgement: RTD protein shakes (cf. OD nutrition drinks)
Walmart,Health and Medicine > Keto Diet > Keto Friendly Proteins,0,,gap-enriched sample,Claude labelling agent (review with team),judgement: keto protein supplements (powders/shakes); no Staples diet/sports-nutrition shelf
Walmart,Health and Medicine > Sports Medicine & Injury Recovery Solution > Return to Function After Injury > Feel Supported and Avoid Re-Injury,1,Healthcare Supplies > Durable Medical Equipment > Orthopedics,gap-enriched sample,Claude labelling agent (review with team),braces/supports
Walmart,Home > Featured Shops > Drew Barrymore Flower Home > Drew Barrymore Flower Home Bed Bath,1,Furniture > Decor > Beds & Bedding > Bedding|Furniture > Decor > Bath Mats & Towels,gap-enriched sample,Claude labelling agent (review with team),brand bed & bath line
Walmart,Industrial & Scientific > Farm & Ranch,0,,gap-enriched sample,Claude labelling agent (review with team),farm & ranch supplies; no Staples shelf
Walmart,Patio & Garden > Patio & Outdoor Decor > Weathervanes,1,Furniture > Decor > Weather Instruments|Gift Shop > Professional Gifts > Compasses > Outdoor Decor,gap-enriched sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Vision Centers > Prescription Glasses > Men's Eyeglasses,0,,gap-enriched sample,Claude labelling agent (review with team),Rx eyeglasses (vision center); not carried
Walmart,Patio & Garden > Patio & Outdoor Decor > Garden Statues > Buddha Statues,1,"Gift Shop > Professional Gifts > Compasses > Outdoor Decor|Gift Shop > Home, Personal & Travel > Sculptures & Figurines",gap-enriched sample,Claude labelling agent (review with team),garden statues
Walmart,Sports & Outdoors > Sports > Tennis & Racquets > Tennis Racquets,1,School Supplies > Teacher Supplies > Physical Education & Recreation > Sporting Goods,gap-enriched sample,Claude labelling agent (review with team),judgement: PE sporting goods covers racquets
