competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Wayfair,Outdoor > Outdoor Décor > Wreaths,1,Furniture > Decor > Artificial Plants & Flowers > Artificial Wreathes,verification loop,Claude labelling agent (review with team),wreaths shelf (76 items)
WestElm,Window > Curtains > Cafe Curtains & Rods,1,"Furniture > Decor > Curtains, Blinds & Shades",verification loop,Claude labelling agent (review with team),curtains/rods shelf (thin; prior standard)
Amazon,Health & Personal Care > Vision Care > Contact Lens Care,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),judgement: eye-care shelf includes Opti-Free contact lens solution (1 of 4 SKUs)
Wayfair,Organization > Cleaning & Laundry Organization > Ironing & Steaming,1,Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Accessories|Retail Store Supplies > Sewing & Tailoring > Garment Steamers & Irons,verification loop,Claude labelling agent (review with team),ironing boards on Laundry Accessories; irons/steamers shelf
Wayfair,Shop Contractor Spaces > Laundry & Utility Room > Ironing & Steaming,1,Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Accessories|Retail Store Supplies > Sewing & Tailoring > Garment Steamers & Irons,verification loop,Claude labelling agent (review with team),ironing boards on Laundry Accessories; irons/steamers shelf
Walmart,Industrial & Scientific > Occupational Health & Safety Products > MSA,1,Safety Supplies > Personal Protective Equipment (PPE) > Head & Face Protection > Hard Hats & Safety Helmets|Safety Supplies > Personal Protective Equipment (PPE),verification loop,Claude labelling agent (review with team),brand page -> MSA V-Gard hard hats/PPE (sold at Staples)
Wayfair,Facilities & Maintenance > Safety & Emergency Supplies > Sneeze Guards,1,Furniture > Cubicle & Panel Systems > Desktop Privacy Panels,verification loop,Claude labelling agent (review with team),sneeze guards (standard)
Amazon,Industrial & Scientific > Cutting Tools > Indexable Insert Holders,0,,verification loop,Claude labelling agent (review with team),no metalworking indexable tooling
Amazon,Industrial & Scientific > Cutting Tools > Indexable Inserts,0,,verification loop,Claude labelling agent (review with team),no metalworking indexable inserts
Amazon,Industrial & Scientific > Material Handling Products > Forklift Booms,0,,verification loop,Claude labelling agent (review with team),no forklift attachments; only hand trucks/hoists
Amazon,Industrial & Scientific > Material Handling Products > Forklifts,0,,verification loop,Claude labelling agent (review with team),no forklifts
Walmart,Health and Medicine > Lip Care > Lypsyl,1,Healthcare Supplies > Personal Care > Skin Care > Lip Balm,verification loop,Claude labelling agent (review with team),brand page -> lip balm
Wayfair,Outdoor > Outdoor Heating > Chimineas,0,,verification loop,Claude labelling agent (review with team),no chimineas; Outdoor Heaters = propane patio heaters only
Walmart,Health and Medicine > Pain management > Omron,1,Healthcare Supplies > Physical Therapy and Rehabilitation Equipment > Electrodes & TENS Units,verification loop,Claude labelling agent (review with team),brand page under pain mgmt -> Omron TENS units
Walmart,Health and Medicine > Sleep Better > Melatonin,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids,verification loop,Claude labelling agent (review with team),Sleep Aids shelf = OLLY melatonin sleep gummies
WestElm,Pillows & Decor > Room Decor > Candlelight & Home Fragrance,1,Furniture > Decor > Candles|Furniture > Decor > Essential Oils & Diffusers,verification loop,Claude labelling agent (review with team),candles + home fragrance (prior standard)
Walmart,Household Essentials > Pest Control > Diatomaceous Earth,0,,verification loop,Claude labelling agent (review with team),judgement: Pest Control shelf is traps/sprays/repellers; no DE or insect dusts
Walmart,Patio & Garden > Outdoor Shade > Beach Canopies,1,Gift Shop > Professional Gifts > Compasses > Camping,verification loop,Claude labelling agent (review with team),judgement: Camping shelf holds pop-up beach sun shelters/canopies
Walmart,Patio & Garden > Outdoor Shade > Event Canopies,1,Gift Shop > Professional Gifts > Compasses > Camping,verification loop,Claude labelling agent (review with team),judgement: Camping shelf holds 10x10 pop-up canopy tents (Ergodyne SHAX)
Wayfair,Kitchen > Kitchen Utensils & Tools > Mortar & Pestle Sets,0,,verification loop,Claude labelling agent (review with team),no mortar & pestle; spice-grinder shelf has 3 electric items
Walmart,Health and Medicine > Eye Care > Alaway,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> allergy eye drops
Walmart,Health and Medicine > Eye Care > Pataday,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> allergy eye drops
Walmart,Health and Medicine > Allergy Medicine > Benzedrex,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),brand page -> nasal decongestant inhaler
Walmart,Home Improvement > Building Materials > Mouldings,0,,verification loop,Claude labelling agent (review with team),no building mouldings/trim
Wayfair,Baby & Kids > Toddler & Kids Bedding & Bath > Bed Canopies,0,,verification loop,Claude labelling agent (review with team),no bed canopies
Walmart,Health and Medicine > Sleep Better > ZzzQuil,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids,verification loop,Claude labelling agent (review with team),brand page -> OTC sleep aid
Walmart,Health and Medicine > Diabetes Support > Insulin,0,,verification loop,Claude labelling agent (review with team),Rx insulin; not carried (only glucose meters/syringes)
Walmart,Health and Medicine > Ear Care > Doctor Easy,0,,verification loop,Claude labelling agent (review with team),brand page -> ear-irrigation washer system; not carried
Wayfair,Baby & Kids > Nursery Furniture > Cribs,0,,verification loop,Claude labelling agent (review with team),Nursery Furniture = playards/bassinets; no cribs
Walmart,Health and Medicine > Caregiver > Reading & Magnifying Glasses,1,Expanded Assortment > Personal Care & Eyewear|Furniture > Lamps & Lighting > Craft Lighting & Magnifiers,verification loop,Claude labelling agent (review with team),reading glasses (eyewear shelf) + magnifiers
Wayfair,Tabletop > Drinkware > Mugs & Teacups,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,verification loop,Claude labelling agent (review with team),mugs on drinkware shelf (prior standard)
Walmart,Health and Medicine > Eye Care > Naphcon A,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> allergy eye drops
Walmart,Home > Featured Shops > The Pioneer Woman,1,Appliances & Kitchenware > Kitchenware,verification loop,Claude labelling agent (review with team),brand page -> cookware/kitchen/dining; kitchenware aisle
Walmart,Industrial & Scientific > Occupational Health & Safety Products > Moldex,1,Safety Supplies > Personal Protective Equipment (PPE) > Face Masks & Respirators|Safety Supplies > Personal Protective Equipment (PPE) > Ear Protection,verification loop,Claude labelling agent (review with team),brand page -> respirators & earplugs (Moldex sold)
Walmart,Patio & Garden > Hot Tubs > Jacuzzi,0,,verification loop,Claude labelling agent (review with team),hot tubs not carried (prior standard)
Walmart,Seasonal > Christmas Last Minute Deals > Household,1,"Cleaning Supplies|Coffee, Water & Snacks > Paper Products",verification loop,Claude labelling agent (review with team),judgement: deals page of household essentials; cleaning/laundry/paper aisles
Walmart,Personal Care > Feminine Care > L.,1,Healthcare Supplies > Personal Care > Period Care,verification loop,Claude labelling agent (review with team),brand page -> L. organic tampons/pads
Walmart,Health and Medicine > Eye Care > Boston,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),judgement: brand page -> Boston RGP lens solution; eye shelf holds contact solution
Walmart,Health and Medicine > Sleep & Snoring Aids > Breathe Right,0,,verification loop,Claude labelling agent (review with team),brand page -> nasal strips; not carried
Walmart,Health and Medicine > Sleep & Snoring Aids > Snoring,0,,verification loop,Claude labelling agent (review with team),anti-snoring aids; no Staples shelf
Walmart,Health and Medicine > Eye Care > Bion Tears,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> lubricant eye drops
Walmart,Health and Medicine > Ear Care > Debrox,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> earwax drops
Walmart,Health and Medicine > Allergy Medicine > Sinex,1,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy",verification loop,Claude labelling agent (review with team),brand page -> nasal spray
Walmart,Health and Medicine > Pain management > Tucks,0,,verification loop,Claude labelling agent (review with team),brand page -> hemorrhoid pads; no hemorrhoid-care shelf
Wayfair,Bedding & Bath > Bath Rugs & Towels > Bathrobes,0,,verification loop,Claude labelling agent (review with team),judgement: no bathrobe shelf in path list (spa robes only in excluded Clothing branch)
Walmart,Health and Medicine > Lip Care > Burt's Bees,1,Healthcare Supplies > Personal Care > Skin Care > Lip Balm,verification loop,Claude labelling agent (review with team),brand page under lip care -> lip balm
Walmart,Health and Medicine > Vision Centers > Costa Del Mar Sunglasses,0,,verification loop,Claude labelling agent (review with team),judgement: premium sunglasses; Staples eyewear is readers/sunglass readers only
Wayfair,School Furniture & Supplies > Outdoor & Playground > Bleachers,0,,verification loop,Claude labelling agent (review with team),no bleachers (stadium seat cushions only)
Walmart,Health and Medicine > Lip Care > Vaseline,1,Healthcare Supplies > Personal Care > Skin Care > Lip Balm,verification loop,Claude labelling agent (review with team),brand page under lip care -> lip therapy balm
Amazon,Home & Kitchen > Kitchen & Dining > Home Brewing & Wine Making,0,,verification loop,Claude labelling agent (review with team),no home brewing/wine making
Wayfair,Restaurant Appliances & Equipment > Beverage Equipment > Home Brewing,0,,verification loop,Claude labelling agent (review with team),no home brewing equipment
Walmart,Home > Featured Shops > Hotel Style,1,Furniture > Decor > Beds & Bedding|Furniture > Decor > Bath Mats & Towels,verification loop,Claude labelling agent (review with team),brand page -> hotel-style bedding & towels
Wayfair,Decor & Pillows > Wall Décor > Peel & Stick Wallpaper,1,Furniture > Decor > Wall Art > Wall Decals,verification loop,Claude labelling agent (review with team),peel-and-stick wallpaper on Wall Decals (prior standard)
Walmart,Cell Phones > Unlocked Phones > GSM Unlocked,1,"Phones, Cameras & Electronics > Cell Phones",verification loop,Claude labelling agent (review with team),Cell Phones shelf is all unlocked phones
Amazon,"Patio, Lawn & Garden > Outdoor Power Tools > Edgers",0,,verification loop,Claude labelling agent (review with team),judgement: no edgers; mowers = 0 standard
Walmart,Health and Medicine > Digestive Health > Irritable Bowel Syndrome,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids|Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Probiotics,verification loop,Claude labelling agent (review with team),IBS relief = digestive aids/probiotics
OfficeDepot,Breakroom > Coffee & Coffee Supplies > Stir Sticks,1,Party Supplies > Stirrers & Straws,verification loop,Claude labelling agent (review with team),coffee stirrers shelf
Walmart,Cell Phones > Shop Phones by Carrier > Total by Verizon,0,,verification loop,Claude labelling agent (review with team),judgement: carrier-locked prepaid phones; Staples sells unlocked only
Walmart,Patio & Garden > Outdoor Shade > Beach Umbrellas,0,,verification loop,Claude labelling agent (review with team),beach umbrellas not carried (prior standard)
Wayfair,Restaurant Furniture > Outdoor Restaurant Furniture > Umbrellas,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,verification loop,Claude labelling agent (review with team),patio umbrellas (standard)
WestElm,Outdoor > Outdoor Umbrellas > Umbrellas,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,verification loop,Claude labelling agent (review with team),patio umbrellas (standard)
Walmart,Health and Medicine > Eye Care > Zaditor,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> allergy eye drops
Walmart,Health and Medicine > Eye Care > iVIZIA,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> dry-eye drops
Walmart,Health and Medicine > Eye Care > Lumify,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,verification loop,Claude labelling agent (review with team),brand page -> redness-relief eye drops
Walmart,Health and Medicine > Foot Care > Pixnor,0,,verification loop,Claude labelling agent (review with team),judgement: brand page -> foot files/pumice/cushions; no foot-care tool shelf
Walmart,Health and Medicine > Foot Care > Desenex,1,Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Antifungals,verification loop,Claude labelling agent (review with team),brand page -> athlete's foot antifungal
Walmart,Health and Medicine > Foot Care > Outad,0,,verification loop,Claude labelling agent (review with team),generic marketplace brand (foot warmers etc.); no Staples shelf
