unit_id,gap_type,name,example_paths,home_L1,home_path,nearest_staples_shelf,nearest_staples_score,k,carriers,members_n,member_competitors,contradicting_peers,soft_gap_share,PC,GS,AAS,CRS,AAS_V,AAS_G,CRS_V,CRS_G,competitor_shelves,competitor_items_counted,staples_shelves,crs_driver,centroid_uid,labelled_members,competitor_view,staples_items,median_depth_gap,staples_depth,label,label_V,label_G,zone_before_verify,O,evidence,action,theme,p_approved,p_top_n,verify_outcome,rank_in_zone,aisle,competitor_dept,family,display
D0061,DEEPEN,Scanners & Scanner Accessories,Printers & Scanners > Scanners & Scanner Accessories,Printers & Scanners,Printers & Scanners > Scanners & Scanner Accessories,Printers & Scanners > Scanners & Scanner Accessories,1.0,2,"Amazon, OfficeDepot",3,2,0,0.0,0.4,0.7606201933482433,95.5945194206715,68.81219608145307,,,,,,,2,Printers & Scanners > Scanners & Scanner Accessories,Staples::Printers & Scanners > Scanners & Scanner Accessories,0,"Radio Scanners, 3D Scanners, Computer Scanners",245.0,0.7553031060503654,2.0,1P-CORE GAP,,,1P-CORE GAP,0.21613167637056752,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Technology & connected workspace,0.0,0.0,,11,Printers & Scanners > Scanners & Scanner Accessories,,Printers & Scanners > Scanners & Scanner Accessories,Scanners & Scanner Accessories
D0072,DEEPEN,Projector Screens,"Shredders, Projectors & Office Machines > Projectors & Accessories > Projector Screens","Shredders, Projectors & Office Machines","Shredders, Projectors & Office Machines > Projectors & Accessories","Shredders, Projectors & Office Machines > Projectors & Accessories > Projector Screens",1.0,2,"OfficeDepot, Wayfair",3,2,0,0.0,0.4,0.5205618391935087,89.10501478132336,64.65731141466016,,,,,,,1,"Shredders, Projectors & Office Machines > Projectors & Accessories > Projector Screens","Staples::Shredders, Projectors & Office Machines > Projectors & Accessories > Projector Screens",0,"Projection & Screens, Projector Screens, Projection Screens",14.0,0.9729795286076093,3.0,1P-CORE GAP,,,1P-CORE GAP,0.20834928008582604,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Technology & connected workspace,0.0,0.0,,12,"Shredders, Projectors & Office Machines > Projectors & Accessories",,"Shredders, Projectors & Office Machines > Projectors & Accessories",Projector Screens
E0058,ENTER,House Numbers & Letters,Wayfair: Outdoor > Front Door Décor & Curb Appeal > House Numbers & Letters,Furniture,Furniture > Decor,Furniture > Decor > Home & Office Decor > Home & Office Bars,0.7539327688217865,2,"Walmart, Wayfair",1,1,1,0.0,0.4,0.8254716174360845,72.2661797524853,67.79082568807338,51.19902617163725,93.33333333333334,67.79082568807338,67.79082568807338,1.0,0.0,0,School Supplies > Teacher Supplies > Classroom Decorations > Letters & Numbers,Wayfair::Outdoor > Front Door Décor & Curb Appeal > House Numbers & Letters,1,,,,,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,0.20797902070625582,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Home décor & furnishings,0.0,0.0,,13,Furniture > Decor,Outdoor,Furniture > Decor,House Numbers & Letters
D0010,DEEPEN,Water Filters & Dispensers,"Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers","Coffee, Water & Snacks","Coffee, Water & Snacks > Breakroom Appliances","Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers",1.0,2,"Amazon, OfficeDepot",4,2,0,0.0,0.4,0.557539156626506,90.96398232451835,66.21410620919457,,,,,,,1,"Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers","Staples::Coffee, Water & Snacks > Breakroom Appliances > Water Filters & Dispensers",0,"Water Coolers & Filters, Filters & Filter Media, In-Refrigerator Water Filters",82.0,0.38422391224399915,3.0,1P-CORE GAP,,,1P-CORE GAP,0.2054285902302683,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Breakroom, kitchen & hospitality",0.0,0.0,,14,"Coffee, Water & Snacks > Breakroom Appliances",,"Coffee, Water & Snacks > Breakroom Appliances",Water Filters & Dispensers
D0008,DEEPEN,Blenders & Food Processors,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors","Coffee, Water & Snacks","Coffee, Water & Snacks > Breakroom Appliances","Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",1.0,2,"OfficeDepot, Wayfair",3,2,0,0.0,0.4,0.7680974800460549,84.20963846829055,70.28189552819954,,,,,,,1,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors","Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0,"Blenders, Food Processors",65.0,0.7906579718136546,3.0,1P-CORE GAP,,,1P-CORE GAP,0.19657427531439042,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Breakroom, kitchen & hospitality",0.0,0.0,,15,"Coffee, Water & Snacks > Breakroom Appliances",,"Coffee, Water & Snacks > Breakroom Appliances",Blenders & Food Processors
D0050,DEEPEN,Storage Baskets,Office Supplies > Storage & Organization > Storage Baskets,Office Supplies,Office Supplies > Storage & Organization,Office Supplies > Storage & Organization > Storage Baskets,1.0,2,"Walmart, Wayfair",3,2,0,0.0,0.4,0.9089009206892835,86.9547232571473,75.84088016457231,,,,,,,1,Office Supplies > Storage & Organization > Storage Baskets,Staples::Office Supplies > Storage & Organization > Storage Baskets,0,"Wire Baskets, Under Bed Storage Baskets Bins, Seagrass Baskets",95.0,0.7906579718136546,3.0,1P-CORE GAP,,,1P-CORE GAP,0.17369911706749527,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,16,Office Supplies > Storage & Organization,,Office Supplies > Storage & Organization,Storage Baskets
D0071,DEEPEN,Moving Supplies,"Shipping, Packing & Mailing Supplies > Shipping Supplies > Moving Supplies","Shipping, Packing & Mailing Supplies","Shipping, Packing & Mailing Supplies > Shipping Supplies","Shipping, Packing & Mailing Supplies > Shipping Supplies > Moving Supplies",1.0,2,"OfficeDepot, Walmart",2,2,0,0.0,0.4,0.5714455750674375,81.63200049233437,74.66972794782124,,,,,,,1,"Shipping, Packing & Mailing Supplies > Shipping Supplies > Moving Supplies","Staples::Shipping, Packing & Mailing Supplies > Shipping Supplies > Moving Supplies",0,"Moving Boxes, Moving Kits, Mattress Moving Covers",61.0,1.028204585801583,3.0,1P-CORE GAP,,,1P-CORE GAP,0.14815725587023462,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,17,"Shipping, Packing & Mailing Supplies > Shipping Supplies",,"Shipping, Packing & Mailing Supplies > Shipping Supplies",Moving Supplies
D0006,DEEPEN,Vacuums,Cleaning Supplies > Floor & Carpet Cleaning Equipment > Vacuums,Cleaning Supplies,Cleaning Supplies > Floor & Carpet Cleaning Equipment,Cleaning Supplies > Floor & Carpet Cleaning Equipment > Vacuums,1.0,2,"Walmart, Wayfair",3,2,0,0.0,0.4,0.9584671383791225,67.04594879521372,78.30483747732679,,,,,,,1,Cleaning Supplies > Floor & Carpet Cleaning Equipment > Vacuums,Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Vacuums,0,"Canister Vacuums, Pet Vacuums, Stick Vacuums",204.0,1.4838051523736002,3.0,1P-CORE GAP,,,1P-CORE GAP,0.14678976138893018,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Health, safety & facilities",0.0,0.0,,18,Cleaning Supplies > Floor & Carpet Cleaning Equipment,,Cleaning Supplies > Floor & Carpet Cleaning Equipment,Vacuums
D0026,DEEPEN,Gaming Chairs,Furniture > Chairs & Seating > Gaming Chairs,Furniture,Furniture > Chairs & Seating,Furniture > Chairs & Seating > Gaming Chairs,1.0,2,"OfficeDepot, Wayfair",3,2,0,0.0,0.4,0.5759351180231129,99.37084548104956,77.10433834536538,,,,,,,1,Furniture > Chairs & Seating > Gaming Chairs,Staples::Furniture > Chairs & Seating > Gaming Chairs,0,"Gaming Chairs, Gaming Desks, Bean Bag Chairs",87.0,0.7906579718136546,3.0,1P-CORE GAP,,,1P-CORE GAP,0.14646121860103853,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Home décor & furnishings,0.0,0.0,,19,Furniture > Chairs & Seating,,Furniture > Chairs & Seating,Gaming Chairs
D0051,DEEPEN,Storage Drawers,Office Supplies > Storage & Organization > Storage Drawers,Office Supplies,Office Supplies > Storage & Organization,Office Supplies > Storage & Organization > Storage Drawers,1.0,2,"OfficeDepot, Wayfair",4,2,0,0.0,0.4,0.5883598168182936,92.12462894248608,77.46625458153913,,,,,,,1,Office Supplies > Storage & Organization > Storage Drawers,Staples::Office Supplies > Storage & Organization > Storage Drawers,0,"Storage Drawers & Carts, Decorative Storage, Utility Storage",89.0,0.4964900976571395,3.0,1P-CORE GAP,,,1P-CORE GAP,0.14022745778987478,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,20,Office Supplies > Storage & Organization,,Office Supplies > Storage & Organization,Storage Drawers
E0267,ENTER,Natural Material Storage,Wayfair: Organization > Garage & Outdoor Storage & Organization > Natural Material Storage,Furniture,Furniture > Storage Furniture,Furniture > Storage Furniture > Storage Organization,0.8988158859573986,3,"Amazon, Walmart, Wayfair",1,1,2,0.0,0.6,0.591116795478858,85.53877551020409,80.97647354018488,100.0,71.07755102040817,95.35620052770447,66.59674655266528,1.0,0.0,0,Office Supplies > Storage & Organization,Wayfair::Organization > Garage & Outdoor Storage & Organization > Natural Material Storage,1,,,,,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,0.12812482134208447,A,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,21,Office Supplies > Storage & Organization,Organization,Office Supplies > Storage & Organization,Natural Material Storage
D0011,DEEPEN,Coffee,"Coffee, Water & Snacks > Coffee","Coffee, Water & Snacks","Coffee, Water & Snacks > Coffee","Coffee, Water & Snacks > Coffee",1.0,2,"OfficeDepot, Walmart",3,2,0,0.0,0.4,0.6748121600583561,92.6617622769942,80.87222167760181,,,,,,,1,"Coffee, Water & Snacks > Coffee","Staples::Coffee, Water & Snacks > Coffee",0,"Coffee, Personalized Coffee Mugs, Coffee Mugs",277.0,0.7270487322356269,2.0,1P-CORE GAP,,,1P-CORE GAP,0.12512810000926275,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Breakroom, kitchen & hospitality",0.0,0.0,,22,"Coffee, Water & Snacks > Coffee",,"Coffee, Water & Snacks > Coffee",Coffee
D0048,DEEPEN,Bookends,Office Supplies > Desk Organizers & Accessories > Bookends,Office Supplies,Office Supplies > Desk Organizers & Accessories,Office Supplies > Desk Organizers & Accessories > Bookends,1.0,2,"OfficeDepot, WestElm",4,2,0,0.0,0.4,0.2113237432488575,92.04806938803114,74.71698113207547,,,,,,,1,Office Supplies > Desk Organizers & Accessories > Bookends,Staples::Office Supplies > Desk Organizers & Accessories > Bookends,0,"Bookends, Books & Bookends",27.0,0.3182536459931982,3.0,1P-CORE GAP,,,1P-CORE GAP,0.12391397632520738,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,23,Office Supplies > Desk Organizers & Accessories,,Office Supplies > Desk Organizers & Accessories,Bookends
D0027,DEEPEN,Office Chairs,Furniture > Chairs & Seating > Office Chairs,Furniture,Furniture > Chairs & Seating,Furniture > Chairs & Seating > Office Chairs,1.0,3,"OfficeDepot, Walmart, Wayfair",5,3,0,0.0,0.6,0.8964940955899637,96.40588786289126,84.8331524043841,,,,,,,1,Furniture > Chairs & Seating > Office Chairs,Staples::Furniture > Chairs & Seating > Office Chairs,0,"Office Chairs, Office Chair Accessories, Ergonomic Office Chairs",1008.0,0.8223589120399517,3.0,1P-CORE GAP,,,1P-CORE GAP,0.1233050448205274,A,Fix in 1P merchandising - a marketplace here would cannibalise core,Home décor & furnishings,0.0,0.0,,24,Furniture > Chairs & Seating,,Furniture > Chairs & Seating,Office Chairs
D0007,DEEPEN,Trash Bags,Cleaning Supplies > Waste & Recycling > Trash Bags,Cleaning Supplies,Cleaning Supplies > Waste & Recycling,Cleaning Supplies > Waste & Recycling > Trash Bags,1.0,2,"OfficeDepot, Walmart",3,2,0,0.0,0.4,0.6656551541395163,96.05640367267678,83.56427733226607,,,,,,,1,Cleaning Supplies > Waste & Recycling > Trash Bags,Staples::Cleaning Supplies > Waste & Recycling > Trash Bags,0,"Small Medium Trash Bags, Trash Bags, Wash Bags",362.0,0.9093702890295814,3.0,1P-CORE GAP,,,1P-CORE GAP,0.10866453634179464,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Health, safety & facilities",0.0,0.0,,25,Cleaning Supplies > Waste & Recycling,,Cleaning Supplies > Waste & Recycling,Trash Bags
D0038,DEEPEN,File Cabinets,Furniture > File Cabinets,Furniture,Furniture > File Cabinets,Furniture > File Cabinets,1.0,2,"OfficeDepot, Walmart",4,2,0,0.0,0.4,0.7009194335244269,97.17441940496178,83.99899021669056,,,,,,,1,Furniture > File Cabinets,Staples::Furniture > File Cabinets,0,"File Cabinets, 5+ Drawer File Cabinets, Lateral File Cabinets",798.0,0.711163681487433,2.0,1P-CORE GAP,,,1P-CORE GAP,0.10830204426019567,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Home décor & furnishings,0.0,0.0,,26,Furniture > File Cabinets,,Furniture > File Cabinets,File Cabinets
D0047,DEEPEN,Binders,Office Supplies > Binders,Office Supplies,Office Supplies > Binders,Office Supplies > Binders,1.0,2,"OfficeDepot, Walmart",3,2,0,0.0,0.4,0.9119480162814636,77.6766780483233,84.40332019469041,,,,,,,1,Office Supplies > Binders,Staples::Office Supplies > Binders,0,"Binders, Data Binders, Easel Binders",875.0,0.8114985595109676,2.0,1P-CORE GAP,,,1P-CORE GAP,0.10796206423483032,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,27,Office Supplies > Binders,,Office Supplies > Binders,Binders
D0054,DEEPEN,Notebooks,Paper > Notebooks,Paper,Paper > Notebooks,Paper > Notebooks,1.0,2,"OfficeDepot, Walmart",2,2,0,0.0,0.4,0.8886393987823201,86.23370064629204,89.20191990886946,,,,,,,1,Paper > Notebooks,Staples::Paper > Notebooks,0,"Mini Notebooks, Composition Notebooks, Composition Books",830.0,1.356076628671243,2.0,1P-CORE GAP,,,1P-CORE GAP,0.07663666221222945,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,28,Paper > Notebooks,,Paper > Notebooks,Notebooks
D0049,DEEPEN,Journals & Diaries,Office Supplies > Notebooks & Notepads > Journals & Diaries,Office Supplies,Office Supplies > Notebooks & Notepads,Office Supplies > Notebooks & Notepads > Journals & Diaries,1.0,2,"OfficeDepot, Walmart",2,2,0,0.0,0.4,0.631073205866946,52.764759540118206,85.44631452040349,,,,,,,1,Office Supplies > Notebooks & Notepads > Journals & Diaries,Staples::Office Supplies > Notebooks & Notepads > Journals & Diaries,0,"Journals & Diaries, Daily Journals, Photo Journal",253.0,1.2220214031920293,3.0,1P-CORE GAP,,,1P-CORE GAP,0.07555835444879638,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,29,Office Supplies > Notebooks & Notepads,,Office Supplies > Notebooks & Notepads,Journals & Diaries
D0053,DEEPEN,Markers,Office Supplies > Writing Supplies & Instruments > Markers,Office Supplies,Office Supplies > Writing Supplies & Instruments,Office Supplies > Writing Supplies & Instruments > Markers,1.0,2,"OfficeDepot, Walmart",3,2,0,0.0,0.4,0.8524688947816805,89.23450942836585,91.08829334967326,,,,,,,1,Office Supplies > Writing Supplies & Instruments > Markers,Staples::Office Supplies > Writing Supplies & Instruments > Markers,0,"Dry-Erase Markers, Overhead & Flip-Chart Markers, Permanent Markers & Marker Pens",470.0,0.7270487322356269,3.0,1P-CORE GAP,,,1P-CORE GAP,0.06292267695967882,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,30,Office Supplies > Writing Supplies & Instruments,,Office Supplies > Writing Supplies & Instruments,Markers
E0044,ENTER,Home Brewing & Wine Making,Amazon: Home & Kitchen > Kitchen & Dining > Home Brewing & Wine Making | Wayfair: Restaurant Appliances & Equipment > Beverage Equipment > Home Brewing,Restaurant & Foodservice Supplies,Restaurant & Foodservice Supplies > Commercial Restaurant Equipment,Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables,0.8063776440838675,3,"Amazon, Walmart, Wayfair",2,2,1,0.0,0.6,0.8516477449573897,76.31270448532425,0.0,64.32744978697505,88.29795918367347,0.0,0.0,2.0,0.0,0,Furniture > Decor > Home & Office Decor,Amazon::Home & Kitchen > Kitchen & Dining > Home Brewing & Wine Making,2,,,,,CURATE,CURATE,CURATE,CURATE,0.7370148241910592,A,"Open to marketplace sellers now (curated, design-led assortment)","Breakroom, kitchen & hospitality",1.0,1.0,,1,Restaurant & Foodservice Supplies > Commercial Restaurant Equipment,Home & Kitchen,Restaurant & Foodservice Supplies > Commercial Restaurant Equipment,Home Brewing & Wine Making
E0381,ENTER,Buffet Tables & Sideboards,WestElm: Furniture > Dining & Kitchen > Buffet Tables & Sideboards,Furniture,Furniture > Home & Office Tables,Furniture > Home & Office Tables > Breakroom & Dining Tables,0.880650815470583,3,"Walmart, Wayfair, WestElm",1,1,0,0.0,0.6,0.8125270553022172,87.66223309774306,6.321857336444675,99.65916007303711,75.665306122449,12.64371467288935,0.0,1.0,147.0,0,Furniture > Home & Office Tables > Breakroom & Dining Tables,WestElm::Furniture > Dining & Kitchen > Buffet Tables & Sideboards,1,,,,,CURATE,CURATE,CURATE,CURATE,0.7094912438596511,A,"Open to marketplace sellers now (curated, design-led assortment)",Home décor & furnishings,1.0,0.998,,2,Furniture > Home & Office Tables,Furniture,Furniture > Home & Office Tables,Buffet Tables & Sideboards
E0208,ENTER,Wreath Hangers,Amazon: Home & Kitchen > Seasonal Décor > Wreath Hangers,Furniture,Furniture > Decor,Furniture > Decor > Seasonal Decor > Ornaments & Tree Decor,0.7984857433851814,3,"Amazon, Walmart, Wayfair",1,1,1,0.0,0.6,0.8516477449573897,62.19782260359752,0.0,42.32501521606817,82.07062999112688,0.0,0.0,1.0,0.0,0,Furniture > Decor > Seasonal Decor > Ornaments & Tree Decor,Amazon::Home & Kitchen > Seasonal Décor > Wreath Hangers,1,,,,,CURATE,VERTICAL EXTENSION,CURATE,CURATE,0.694670178545879,B,"Open to marketplace sellers now (curated, design-led assortment)",Home décor & furnishings,0.692,0.692,,3,Furniture > Decor,Home & Kitchen,Furniture > Decor,Wreath Hangers
